	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Sep 22 12:10:30 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    20336    24131    13344    18454    18124    24077    13042     23730     13417   801764  1232453  1947927  2772930
              64       8    38978    38365    18545    28827    27244    41343    25020     39923     18338   942521  1392258  1304314  3022727
              64      16    58231    62618    36657    42923    42354    63417    39459     65715     27791  1017549  1648808  1143223  2923952
              64      32    92634   100132    37057    71989    66678   100132    33317     99834     47554  1163036  1933893  1991276  2379626
              64      64   143486   140409   114921   115069   105111   139678    27872    139461     24814  1083249  1734015   877797  1484662
             128       4    21129    25049    13476    18168    17730    24796    16709     24381     16813   976473  1409828  2660335  3106789
             128       8    36221    38940    22257    28425    28249    38870    25443     39334     24558  1102844  1622919  2920861  3445772
             128      16    61597    64228    23092    44414    43702    65972    36942     63998     24757  1206978  1852520  2969325  3468030
             128      32    93161   102971    46648    74723    72640   102813    63551    101338     47688  1424795  2132084  1778862  3124872
             128      64   151666   155488    65705   114183   108200   147297    93502    147459     69979  1093856  2098744  1967960  2066432
             128     128   214765   204771   187664   187140   177021   213653    61421    219596     31612  1243315  2058509  1455701  1377278
             256       4    21088    24859    15734    18077    18149    24705    15599     24660     16423  1023775  1540948  3052087  3326279
             256       8    35684    39518    21113    28657    27957    39305    20886     40075     25308  1190657  1740810  3410808  3770085
             256      16    62030    65158    35580    45277    46101    67261    34848     66268     33040  1267990  1924938  3454704  3823789
