	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Sep 22 13:02:52 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    20433    24548    13672    18305    18471    24625    13280     24586     15678   809014  1255511  2006158  2801873
              64       8    38741    38508    25754    29780    28194    39384    25137     38023     19149   913649  1330167  2358717  2923952
              64      16    62868    65315    37164    42075    43095    65173    38414     68238     26392  1013707  1638743  2278628  2923952
              64      32    95365   102895    21723    70961    73648   107554    20435      7679     19974  1124074  2006158  2067979  2379626
              64      64   145193   140630   113273   116165   104092   141594    23103    139388     25868  1101022  1780008  1421755  1460430
             128       4    21170    25132    14967    18165    18043    24710    16584     24605     16433   853794  1359835  2621367  3124872
             128       8    36251    40531    21974    28985    28286    39119    25589     40663     23555   921183  1598754  2969325  3445772
             128      16    59422    64420    23293    43567    43373    65037    39604     65401     24917   948860  1749872  1911894  3468030
             128      32    98620   103307    48172    70913    69445   102636    63453    107206     49061  1377278  2066432  2499332  3053774
             128      64   151111   156303    67439   121304   117765   144794    93355    140659     65948  1231904  2066432  2027414  2098744
             128     128   180533   197248   155894   163689   162845   190731    55172    184187     55149  1185654  1939522  1440082  1346196
             256       4    21185    24784    15727    17938    18047    25024    15761     24990     16714  1052888  1463250  3009318  3326279
             256       8    37030    39987    23686    28082    28387    39849    22990     39451     25209  1045710  1552085  3368013  3717869
             256      16    62609    67294    30519    45415    44498    67298    28494     67727     33117  1274008  1884399  2665657  3823789
             256      32    95487   103805    55064    73645    72336   104400    53145     28206     59137  1319408  2049885  3326279  3667079
             256      64   139577   156003    77527   114755   110344   155326    76326    154211     83063  1506359  2081678  2672291  2719671
             256     128   181289   194384    71407   154034   150072   192640    69471    189914     72297  1262029  2205688  2148318  2030503
             256     256   240167   256519   215489   229196   229392   265527   133337    253971    133752  1321031  2205688  1487577  1347557
             512       4    21312    24948    16750    17937    18040    25432    16184     25072     16222  1089647  1395552  3220553  3366987
             512       8    37437    40147    24449    28292    28528    40654    23380     40166     25813  1158418  1770674  3710197  3905895
             512      16    60605    66586    34263    45138    45027    66064    37290     67465     38832  1179413  1910902  3849877  4030519
             512      32    98140   107541    62753    73088    71111   107996    55369    106846     54643  1279935  1854787  3628697  3822466
             512      64   147808   157835    91970   119319   116839   154408    73489    151307     89167  1365383  2022482  3201349  3279573
             512     128   190399   201493    95721   161007   156057   193714   111913    199620    124514  1488408  2081286  2796910  2725905
             512     256    39315   262695   174808   240727   236590   254477   142815    261479    169149  1261144  2237414  2152206  2039772
             512     512   304962   333781   316047   308422   302428   337983   131927    337771    124363  1355045  2107844  2524058  2277758
            1024       4    18727    25055    16437    17608    16892    25559    15313     25065     15673  1028043  1466957  3142339  3200886
            1024       8    38044    40772    24382    26926    26366    40480    25206     40351     23790  1132697  1712639  3735385  3849207
            1024      16    65356    67130    37914    41953    42863    68696    36445     67072     38951  1214706  1845071  3866533  3821805
            1024      32    60727   107903    64638    67288    68862   109214    60128    107280     55426  1256277  1984913  4029784  4146499
            1024      64   145766   156289    84452   108797   105014   157366   102854    154707    104320  1289467  1841116  3472628  3532609
            1024     128   191904   197226   123493   139452   147528   195716    96851    198072    150564  1311117  1841906  3048658  2993413
            1024     256   255868   269838   225353   251155   232351   260225    94921    268976    136844  1444752  1819280  2646630  2565989
            1024     512   326742   335182   262227   323250   319713   353704   168782    333439    275710  1221964  2010935  2541692  2668003
            1024    1024   125919   373839   373871   366627   369433   355314   242601    414419    255366  1343938  2089189  2844715  2900425
            2048       4    21471    25226    16904    16731    15115    25749    14172     25215     14739  1035954  1466157  3230749  3297725
