	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Sep 22 13:11:43 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    20337    24306    13964    18401    17362    24317    14873     24372     14565   842003  1279447  1991276  2772930
              64       8    37252    41452    14228    28179    28633    40458    12640     39946     15647   969761  1421755  2298136  3057153
              64      16    62386    64779    39728    45778    42082    68674    24483     62386     29398   998622  1648808  2298136  1255511
              64      32    96844   110521    65780    69116    73810   108467    42075    105276     37692  1163036  1991276  2006158  2379626
              64      64   145429   141296    96531    99243    89873   138812    41102    140703     59707   929467  1562436  1304314  1363961
             128       4    21199    24625    15030    18202    18005    25053    16749     24311     14272  1040839  1455701  2727923  3106789
             128       8    36136    11535    26164    28292    27426    40137    16714     40531     23938  1111981  1663139  2985839  3468030
             128      16    61127    64451    31036    43157    44017    63808    40802     63740     38367  1243315  1802755  2905056  3468030
             128      32    96824   107206    50735    70254    69906   102714    45699    105541     33934  1363288  2035099  2784517  3053774
             128      64   141886   147499    44676   121910   110631   151495    52073    145461     43507  1220700  2098744  2027414  2098744
             128     128   184124   155128   151282   150223   142868   186620   136476    183119     91354  1254941  2090572  1455701  1373754
             256       4    21127    24774    15560    17846    17745    24873    15523     24772     16476  1089202  1600674  3009318  3275543
             256       8    36666    39481    22963    28447    28039    39263    23013     40372     13237  1031644  1740810  3326279  3705040
             256      16    61791    65640    35714    45794    45334    66408    34637     66183     39119  1306564  1952947  3557725  3879045
