	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Sep 22 10:51:35 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    20350    24388    13530    17783    18253    24931    12815     24503     13358   842003  1255511  2006158  2662899
              64       8    37554    39929    20401    28097    27751    41670    24586     39751     19161   955947  1452528  2379626  3057153
              64      16    57917    62068    37387    43536    41833    65046    39263     64842     27921  1017549  1638743  2278628  2923952
              64      32    93570   100469    22655    69492    73407    99354    20189    104579     25295  1204796  1991276  2067979  2358717
              64      64   143793   147426   109753   109574   104742   156539    28713    153058     24428  1101022  1690338  1392258  1421755
             128       4    20980    25009    14967    18345    17672    24787    16751     24696     16782   992724  1243315  2673584  3036502
             128       8    33193    39168    21650    29453    28998    40188    25874     40291     24334  1093856  1637771  2969325  3468030
             128      16    59926    64097    24349    44725    43567    64128    37092     64451     24975  1240443  1833539  2969325  3468030
             128      32   100147   107292    46060    73859    71833   102971    61301    106399     50855  1306873  2004703  2727923  3053774
             128      64   137949   142224    71987   114500   109951   154771    91885    146453     41130  1217930  2066432  2004703  2098744
             128     128   181081   197175   162845   158799   152919   183369    64320    200264     60094  1278855  2140585  1451764  1391557
             256       4    21036    25054    15789    17980    17777    24842    15743     24888     16772  1093639  1561112  2392442  3326279
             256       8    36686    39831    23574    28409    27759    39684    23255     39512     25088  1230218  1790149  3511189  3756894
             256      16    61494    65556    30603    46018    46302    66597    29896     67030     33559  1152323  1938842  3557725  3879045
             256      32    99110   106008    51769    73539    73104   105178    50703    107204     56190  1422540  2097948  2533571  3717869
             256      64   143571   150662    80479   114036   109545   152763    76784    151299     82022  1354356  2114473  2588541  2719671
             256     128   186452   188217    72910   142390   145457   188646    73184    193334     77432  1262029  2205688  2114473  2030503
             256     256   219363   257257   252241   242664   227980   256519   142145    254211    113278  1437779  2392442  1489641  1415041
             512       4    22270    25113    16219    18149    17978    24994    16326     24992     16314  1081961  1614885  2975154  3372274
             512       8    36537    39745    25207    28348    28179    40251    23366     39745     25297  1248678  1854787  3710197  3849877
             512      16    61062    67894    34617    44853    46693    67465    37273     65793     39048  1185272  1789859  3788747  3934520
             512      32    95883   107359    57768    73363    71738   105981    55987    107725     54525  1293037  2055390  3849877  4000485
             512      64   143579   155481    85204   116314   112700   155481    68863    153844     95009  1383861  1992458  2942541  3264616
             512     128   184637   196013    94829   158898   154541   195495   114107    193714    120809  1483267  2055390  2739816  2695115
             512     256   241621   260686   167486   244509   240592   258055   150808    265291    115469  1225169  2246778  2107844  2014892
             512     512   286033   326077   316840   316047   315676   339963   120788    327969    122399  1368865  2099600  2535981  2512247
            1024       4    21335    25078    16677    17594    16989    25496    15312     24914     15566  1107291  1580306  3151562  3425544
            1024       8    38444    40748    25667    26970    25381    39910    24096     40026     23633  1178057  1841906  3791442  3908759
            1024      16    60627    66840    39585    42632    41989    67788    39828     66290     37978  1235319  1896395  3751699  4048778
            1024      32   110153   108028    63824    67475    68462   106699    62041    106843     55110  1271902  1987669  3764854  4195100
            1024      64   146118   158539    84468   105598   103926   154518    91062    155413    113411  1282920  1865101  3472628  3506651
            1024     128   197417   197798   129703   141809   142980   199100    94954    199257    145499  1315938  1861867  3003881  2976816
            1024     256   255868   260020   159623   229091   218475   264536   166938    264065    195121  1363565  1809317  2534194  2522288
            1024     512   322401   332047   296208   320500   296986   342452   223036    340632    248180  1223356  2039583  2491561  2504637
            1024    1024   366909   368609   388762   404239   380529   394004   343382    387010    186763  1368780  2159571  2837198  2918161
            2048       4    21423    25008    16672    16864    15281    24989    14795     24887     14883  1072293  1568134  3210223  3390131
            2048       8    36936    39960    24711    25425    24454    42058    23267     40574     23232  1185831  1791882  3799501  3792790
            2048      16    60523    69823    39108    39536    38534    67475    37026     67381     37533  1220541  1837102  3960675  4054139
            2048      32    97883   107271    61566    64323    63729   109494    62955    106345     60226  1240458  1906837  3908414  4186524
            2048      64   144733   156745    97417   100510    99668   155328    99654    154437     96905  1225591  1821906  3314266  3374151
            2048     128   192375   198332   133812   136143   135925   200349   133289    196167    143760  1306095  1853753  3502085  3543986
            2048     256   257447   266323   178119   212823   202131   266248   194031    263885    225304  1224892  1707806  2790021  2840769
            2048     512   328677   352135   253908   283498   271080   338015   278182    348705    236001  1338453  1713598  2856830  2828608
            2048    1024   355487   369732   326057   375568   360243   395288   262730    389287    238061  1224892  2113766  2798201  2872113
            2048    2048   319889   337352   339297   349428   343105   309270   379467    376738    309839  1342847  2098276  2756890  2748949
            4096       4    21382    24998    16605    16907    14608    25462    14432     25000     14429  1089968  1530663  3177452  3356881
            4096       8    36886    40020    25541    25332    23428    40465    23077     40004     23612  1180762  1693965  3602551  3890540
            4096      16    60422    66447    41929    40027    38524    66362    37633     66314     38150  1235179  1830214  3768502  4125010
            4096      32    98369   107183    62022    62873    66697   106872    62741    106993     62159  1193808  1757925  3621537  3973321
            4096      64   145289   157237    95938    99337    99594   154835    98286    154635     98152  1262222  1780886  3474326  3730046
            4096     128   176880   197663   132227   134136   133350   199252   124764    197522    131683  1262593  1783289  3509816  3740604
            4096     256   257790   267537   203072   214135   212912   266789   202361    265906    207411  1216462  1638392  3136268  3235498
            4096     512   332197   341868   238901   271113   270434   336373   262244    345825    297415  1256774  1628607  2737912  2868663
            4096    1024   341848   370952   316709   344667   339015   374404   290864    370480    351831  1396532  1777753  2553941  2844440
            4096    2048   376777   369469   357915   369238   362354   344087   347800    390648    309665  1319619  2478054  2471992  2502236
            4096    4096   378980   385901   205757   408006   374339   214248   391360    368842    370672  1320025  1880498  2451183  2422154
            8192       4    21005    24932    16595    16698    14340    24440    14530     24761     14522  1098990  1423954  2571104  2760970
            8192       8    37201    39546    25388    25415    23176    40136    23008     39777     23254  1216885  1608164  2825913  3049913
            8192      16    59650    65936    39793    39768    38001    65689    37741     65673     37972  1265001  1696458  3004049  3221485
            8192      32    97769   106917    63507    62917    63734   106939    62885    106345     62481  1202953  1609143  2787400  3031882
            8192      64   144154   155696    99749    99382    99476   153201    96618    153238     98879  1273063  1724989  2897891  3002737
            8192     128   189021   197616   133629   134843   134586   197330   131370    198695    133526  1278558  1709881  2934020  3081920
            8192     256   199960   265800   202948   213033   214946   265388   207325    266309    199941  1198338  1610350  2803547  2903033
            8192     512   335325   343622   264430   274189   278449   342874   250497    342345    293462  1147014  1489704  2322733  2382815
            8192    1024   370392   371791   350385   349323   344607   382660   335394    375903    317569  1252596  1599704  2566303  2596557
