	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Sep 22 10:42:50 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    20500    24559    13530    17947    17733    23852    16178     24729     10971   831569  1204796  1933893  2801873
              64       8    37607    40971    26836    28070    28790    39704    20565     40815     14446  1033216  1460430  2278628  3057153
              64      16    60775    66662    17357    42671    40556    64655    19179     62677     29836  1049372  1638743  2203800  2772930
              64      32    96220   109040    65315    74860    73147   110521    41503     94659     33350  1124074  2067979  2006158  2278628
              64      64   141594   142269   112466   115069   104742   140409    65173    137391     43834  1083249  1066042  1421755  1484662
             128       4    21185    24849    15144    18340    17822    24065    19559     24614     15261  1015251  1455701  2714132  3199360
             128       8    35566    39000    18145    28926    28337    39262    22456     38312     23866  1152564  1684006  3053774  3560017
             128      16    59620    64482    30992    44458    43244    64521    40543     65907     36129  1229084  1827299  2985839  1939522
             128      32   103968   102323    46060    70245    73475   102225    43258    102655     33446  1406136  2098744  2784517  3124872
             128      64   143020   149679    42582   117739   109973   143979    84482    145936     62377  1209698  2066432  2066432  2132084
             128     128   186296   204148   130093   131270   117328   186880   150603    185524     90339  1278855  2098744  1455701  1359835
             256       4    21417    25090    14783    18125    18015    25071    14398     24546     17138  1011241  1581810  3087188  3368013
             256       8    37134    40366    23538    28692    28234    39451    22963     40144     22112  1237306  1829808  3410808  3705040
             256      16    60998    67493    35054    44537    45094    65640    36352     67633     39664  1178892  1985448  3557725  2903529
             256      32    99183   106134    42617    72747    72708   108614    41131    107872     57014  1142514  2030503  3236056  3499745
             256      64   147212   157537    79952   115533   116409   153002    77176    153286     56725  1362952  2015259  2588541  2607399
             256     128   185102   194384   114644   158420   155980   193473    98918    192640    110583  1254656  2223962  2097948  2015259
