	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Sep 22 11:26:49 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    20493    23835    11009    18007    17506    24288     9396     24390     12061   674790  1255511  1947927  2772930
              64       8    38674    39097    25683    29740    27872    38904    25236     39681     18991   955947  1452528  2278628  1452528
              64      16    58459    65173    37231    41859    45330    64453    39384     65715     27574  1049372  1679761  2278628  2923952
              64      32    95808    99097    34876    73648    73729    99207    30665     98335     48091  1083249  2006158  1933893  2203800
              64      64   145115   140043   113273   128511   108117   139099    54930    142194     21658  1049372  1648808  1330167  1363961
             128       4    21034    24128    13249    18228    17937    24033    16931     24648     14127   978253  1391557  2558895  3053774
             128       8    39886    41317    21142    28667    27917    38555    25152     40227     23885  1123617  1684006  2905056  3468030
             128      16    59620    62992    30040    44002    44198    66110    38963     63619     24422  1057236  1852520  2969325  3380677
             128      32   100541   107121    33093    77483    73385   101185    43026    104311     49532  1406136  2098744  2843510  3124872
             128      64   140659   148151    69114   113990   110928   153663    92153    147136     64289  1243315  2098744  2066432  2132084
             128     128   177783   197248   154994   152571   137949   175344    60235    188852     45455  1185654  1997245  1406136  1363288
             256       4    21181    24760    15528    17883    17838    24842    15438     24840     16697  1044693  1543163  3009318  3275543
             256       8    36436    39317    21192    28903    28218    40087    21087     40180     22749  1224606  1766587  3465855  3756894
             256      16    62452    65773    34665    44544    46075    66755    35150     67139     38875  1319408  1985448  3454704  3810220
             256      32    97296   104482    51862    71727    71972   105044    50631    105914     55254  1368162  2065659  3410808  3654598
             256      64   141211   145952    59882   113075   111167   156094    49710    152006     61434  1407621  2081678  2665657  2726577
             256     128   181811   194103   116157   156961   149884   190622   103735    191199    100511  1262029  2205688  2030503  1970871
             256     256   247132   257010   226728   225348   231669   280364   123138    285736    132433  1376935  2187712  1481420  1376935
             512       4    21156    24804    15664    17857    17825    24821    16005     25406     16642  1046631  1484293  3220553  3372274
             512       8    36713    39866    24288    28159    28332    39197    24399     40289     24233  1165966  1747618  3653390  3788747
             512      16    66233    66432    37449    44991    44959    67440    34312     66937     38189  1201856  2032051  3795443  3437042
             512      32    96080   107585    51364    72860    72418   106002    57464    107741     63102  1289156  2097550  3795443  3239989
             512      64   143176   154831    85533   115550   116680   151478    87628    156148     78133  1326585  1835760  3259661  3325278
             512     128   193575   199602   122107   159642   157154   196551    88443    198771    104384  1446306  2057359  2739816  2337255
             512     256   251349   285881   127425   245320   223374   270062   127425    273049    168037  1293037  2216629  2014892  1924603
             512     512   290247   348798   310518   313327   318202   355555   198771    347331    220304  1347393  2198475  2337255  2483197
            1024       4    21282    25473    16719    17271    16642    24910    15733     24942     15314  1064215  1575091  3281592  3358576
            1024       8    37525    41986    25414    26888    26002    39987    24197     40378     24780  1177088  1809317  3764854  3671521
            1024      16    60908    66780    38422    42399    41965    67046    38350     66806     37997  1292961  1932227  3955557  4014717
            1024      32    98065   107843    55940    68221    68453   109098    60083    107662     61720  1278338  2052253  3778101  4162573
            1024      64   147894   160028   101053   107754   108764   155104    94031    156335    104490  1253710  1825466  3140041  3358576
            1024     128   190872   198493   135003   141969   150300   195868   124586    194749    122239  1291406  1910737  2918161  3012308
            1024     256   261158   276384   181078   222654   215938   279696   170721    277653    228154  1391395  1920993  2651532  2598591
            1024     512   319499   344539   251346   314677   310693   351533   231250    362879    200663  1196101  2040552  2567523  2534194
            1024    1024   372509   392456   386140   385689   381103   413581   269111    410577    307314  1281771  1995982  2534194  2448941
            2048       4    21454    25125    16757    16784    15143    24958    14837     25338     15028  1089981  1596106  3240499  3430751
            2048       8    37925    40874    25544    25631    24079    40438    23733     40468     23412  1167617  1851755  3779440  3835124
            2048      16    61363    68536    38297    40130    38863    67550    38062     67994     38284  1276022  1974785  4104506  4178378
            2048      32    99071   109052    58870    63038    64065   107320    63280    106102     62845  1235285  1928240  3848872  3931669
            2048      64   145360   156454    97883   102123   100659   153707   101336    155387     94400  1272054  1844994  3448657  3586902
            2048     128   192139   199086   130852   136018   135871   198717   129957    197076    135773  1270548  1804302  3235617  3324528
            2048     256   259406   280087   191706   203115   201278   276054   200335    277275    212865  1321364  1745635  3043048  3074635
            2048     512   330919   353352   265631   293966   290241   356787   271011    355811    276534  1345582  1737163  2782790  2880782
            2048    1024   387950   403628   263674   348365   325132   410259   289634    372830    304038  1243511  2135840  2646472  2712491
