	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Sep 22 10:34:13 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    20311    23970    13840    17892    17831    24410    13152     24465     10763   811459  1226821  1879725  2689580
              64       8    37016    39000    25794    29264    28245    39143    20441     41774     14343   929467  1392258  2203800  2892445
              64      16    60501    65974    17961    42985    40685    63613    15166     62736     20963  1049372  1679761  2203800  2801873
              64      32    98011   100469    65909    72397    72163   101610    24051    101113     21150  1124074  2067979  2006158  2278628
              64      64   148569   137040   111116   127716   105774   140630    62927    140043     48852  1124074  1734015  1336792  1363961
             128       4    20997    24696    14941    18202    18043    24858    16655     25000     17708   971174  1471662  1802755  3124872
             128       8    36949    39108    21607    28731    27947    39085    25088     40050     24260  1085013  1684006  2905056  3359523
             128      16    62261    66735    30447    44245    43567    65907    41368     65673     37593  1206978  1487977  2905056  3297617
             128      32    95736   101510    31953    74681    73025   106844    44661    105355     34206  1377278  2066432  2673584  2985839
             128      64   140182   154949    69302   120650   107658   145619    97333    144951     65851  1231904  2132084  2132084  2211113
             128     128   208509   205476   189385   186880   176788   207783   161231    203838     72976  1346196  2132084  1487977  1373754
             256       4    20990    24820    14778    17912    17661    24808    14368     24753     16669  1076103  1532153  2366082  3275543
             256       8    36260    40365    23253    28548    28419    39282    23306     40404     22808  1036624  1842366  3326279  3717869
             256      16    68870    67193    35048    45747    46166    66597    34901     67067     38752  1312954  1938842  3285566  3605511
             256      32    96892   103895    42760    72233    72214   108570    50584    107204     55265  1340826  2061693  3197509  3368013
             256      64   147719   156389    80958   117172   117376   150768    54691    154388     59042  1420658  2045979  2613746  2699161
             256     128   214585   226155   112142   191472   182584   223008    85531    219184     95208  1254656  2135500  2000242  1956506
             256     256   246169   272329   233787   226537   230624   280657    85531    279488    127103  1347557  2242541  1504249  1158540
             512       4    21342    25503    15746    17911    17741    25266    16706     24968     16742  1034032  1496706  3158966  3325278
             512       8    37257    39890    24287    28257    27839    39848    24467     39475     25198  1160923  1753325  3550700  3304808
             512      16    60677    67950    37085    44952    46137    66709    37883     67191     35322  1258188  2024389  3653390  3849877
             512      32    97357   106091    50523    72121    72143   106825    51107    105850     64613  1222379  2022482  3653390  3822466
             512      64   144584   152793    88783   115265   115395   158172    88272    151564     94712  1279935  1999881  3029721  2638816
             512     128   217779   229069   116598   184368   180980   226150   119511    223003     86079  1394645  1882427  2736325  2739816
             512     256   253965   274972   119153   227251   218444   308024    99921    274972    164007  1296159  2216629  2097550  1985091
             512     512   284593   334665   301705   298186   303668   294748   195870    360812    195264  1340664  2089386  2438090  2225819
            1024       4    21388    25066    16637    17331    16629    25007    15774     24862     15808  1074599  1594978  3261656  3358576
            1024       8    37149    40059    24821    26695    26214    39542    25141     39682     24588  1208894  1852232  3495237  3764854
            1024      16    64929    66532    36930    42475    42382    66771    37880     66406     36638  1265904  2056183  3984917  4110780
            1024      32    98538   106280    59112    66710    67931   106699    63606    107125     60383  1336827  1932227  3764854  3863055
            1024      64   145268   158539   103140   108612   108508   154474    98083    156289    102871  1276817  1835608  3271594  3481072
            1024     128   220834   230790   120798   178616   178023   232087   139262    224317    168504  1400926  1865101  2987168  3103735
            1024     256   262019   279696   209492   214900   205168   280775   198723    277869    189315  1440391  1787480  2478620  2381058
            1024     512   310020   336153   185137   293075   274091   334764   231562    339743    172068  1299612  2011877  2708381  2739476
            1024    1024   341227   388762   403783   395200   400956   412074   219749    410773    271750  1254808  1999700  2398343  2260740
            2048       4    21298    24946    16907    16765    15079    24973    14800     24943     14593  1099187  1608660  3309159  3390131
            2048       8    37463    41522    25173    25510    24082    39976    23489     39928     23305  1175607  1828499  3650932  3751381
            2048      16    60477    66569    39182    39830    38831    66216    38672     66289     38009  1265868  1945270  3821475  3991965
            2048      32    97015   106610    61165    62771    63598   106811    63048    106561     61496  1256425  1919621  3864455  3937075
            2048      64   144917   158670    94143   102636   102791   156862   104329    154204    100515  1295263  1863809  3419824  3512108
            2048     128   217061   230578   147560   159626   159427   226099   151000    225304    144347  1280015  1823453  3341339  3379461
            2048     256   264258   278859   195031   203780   205683   278479   200808    275824    180948  1291174  1729816  2938934  2848305
            2048     512   314836   326417   256448   268865   261658   308626   272265    329421    253841  1368956  1767183  2860636  2730599
            2048    1024   362600   384031   313000   389799   368685   350798   340602    377450    308948  1227167  2151353  2659582  2775597
            2048    2048   390703   399609   344966   350197   341170   398128   373592    337458    342996  1378181  2089598  2687877  2892423
            4096       4    21282    24999    16752    16754    14298    24901    14371     24862     14741  1071411  1566390  3080040  3363453
            4096       8    36932    39551    25576    25646    23435    39471    22967     39601     23586  1185161  1741531  3486312  3849566
            4096      16    60118    66314    39296    39054    38129    66474    38012     66450     37925  1258800  1873730  3644585  3961410
            4096      32    98206   113942    61536    62275    62673   106536    61944    107205     63350  1263801  1885658  3896717  4171080
            4096      64   144893   157447    99330   102078   101338   155145    97204    154077     96667  1198723  1740825  3065750  3140855
            4096     128   215023   225277   154789   160098   158666   225499   154433    225623    146830  1256774  1824577  3450600  3571100
            4096     256   267221   280127   186417   205363   203377   276440   196818    276328    209964  1207146  1652259  3033808  3091124
            4096     512   316686   335466   257964   270005   258683   335349   228265    331364    263868  1212941  1576596  2663212  2769246
            4096    1024   361074   377274   324510   355221   355089   373241   320073    368375    291283  1371777  1725266  2539595  2815077
            4096    2048   356393   401607   310235   367981   361515   390391   346062    362989    336097  1334171  2426259  2514689  2544108
            4096    4096   376538   374715   421232   411033   398865   396747   344377    394678    333196  1326855  1870262  2411952  2389808
            8192       4    20891    24829    16630    16699    14320    24709    14324     24770     14409  1104324  1443031  2518339  2760083
            8192       8    36793    39717    25362    25541    23249    39855    23174     40257     23192  1223428  1629906  2824984  3062418
            8192      16    60395    65893    39599    39660    37913    66042    37946     65846     38088  1250681  1668369  2897647  3165394
            8192      32    96661   105912    63254    62796    63078   107437    62244    106600     63264  1287662  1739310  3030813  3307380
            8192      64   144020   156398   102133    99785   102758   154428   101073    157009    100124  1260130  1692864  2766750  2919560
            8192     128   214882   226061   159629   160266   159740   227631   157133    226611    157908  1276042  1711670  2908193  3040737
