	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Sep 22 12:36:42 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    20297    23871    13545    17997    17660    24381    13222     24616     14244   821391  1255511  1933893  2923952
              64       8     8052    41311    26036    28245    27837    38792    20499     39628     13909   983980  1452528  2358717  3057153
              64      16    58231    63688    36823    44202    44599    65571    23375     63298     18528  1033216  1690338  2203800  1357066
              64      32    96984   102895    33719    71586    75470   101726    33881     99538     47445  1163036  2052169  1991276  2379626
              64      64   157273   140043   126991   111531   105442   130892    59142    141594     43040  1087638  1690338  1330167  1357066
             128       4    20625    24975     9812    17424    17740    24535    16901     24714     17815   990891  1421023  2660335  3124872
             128       8    12168    39663    18451    29479    28212    40908    23154     40737     21129  1114289  1663139  2843510  3380677
             128      16    15632    66801    30606    44078    45021    67754    40455     64645     32016  1243315  1858934  2985839  3536566
             128      32    94890   102323    47335    71308    69979   102148    63364     16786     48211  1254941  1975201  2558895  2843510
             128      64   151838   158191    41803   119389   107831   146974    44524    147987     45517  1196221  2066432  2035099  2027414
             128     128   182807   195452   155894   159412   149888   189318   119949    196023     81892  1229084  1939522  1409828  1377278
             256       4    21127    24613    14511    11795    16617    24780    13969     24669     15518  1049800  1561112  3052087  3316006
             256       8    37431    39769    16188    27240    28066    39036    23148     20141     22857  1138879  1829808  3465855  3823789
             256      16    61067    66838    35226    44872    45712    66134    21377     66371     40494  1163562  1970871  3545976  3823789
             256      32    95598   106799    41981    73164    71364   106134    20582    106799     45279  1400278  2097948  3285566  3511189
             256      64   143417   148331    79115   111885   110765   156116    78865    150852     80226  1561112  2081678  2692393  2692393
             256     128   185102   192192   114084   157168   155619   189479   109444    195410    100314  1286217  2187712  2131261  2081678
             256     256   248045   255725   258558   252954   233787   255239    62181    256274     82425  1286217  2187712  1266495  1384034
             512       4    21478    18662    16642    14635    16826    25369    13811     25470     16267  1038532  1605228  3177664  3325278
