	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Sep 22 12:54:24 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    20413    24271    13831    18058    17792    24483    13333     24040     15590   811459  1310683  2067979  2772930
              64       8    38697    39751    26745    29264    28355    39846    24372     39188     19388   752329  1385075  2298136  2892445
              64      16    61954    65699    36863    45684    42978    65974    39558     67944     26294   983980  1599680  2278628  2772930
              64      32    98155   102424    36325    75048    68534    99354    30919    102074     49120  1124074  1183548  1991276  2298136
              64      64   143180   139099   118944   114285   107727   140043    28998    141296     24071  1033216  1143223  1336792  1357066
             128       4    21059    24757    13129    18385    18327    25325    16736     24825     16441   889145  1471662  2673584  3106789
             128       8    36952    39517    21465    28144    27765    38624    25522     39153     24554  1111981  1622919  2920861  3359523
             128      16    60154    64575    23734    43391    43359    65875    37079     63747     27200  1254941  1827299  2985839  3445772
             128      32    93763   104149    46632    71308    69607   102892    62925    104412     48740  1406136  2098744  2784517  3124872
             128      64   137807   146653    67118   120976   110539   145619    97474    145107     63740  1152564  1997245  1975201  1997245
             128     128   219956   240124   210884   215541   204148   231529    67186    233543     31112  1303699  2098744  1455701  1346196
             256       4    21085    24688    15603    18184    17831    24525    15646     24861     16753  1099237  1588832  3009318  3275543
             256       8    19585    39665    26490    28644    28268    39925    21528     39615     25979  1137672  1790149  3465855  3770085
             256      16    62394    65757    35237    45771    44443    66457    33773     65536     34511  1208072  1956506  3465855  3823789
             256      32   100661   108242    51096    73164    72708   104532    49708    105737     58448  1384034  2081678  3285566  3557725
             256      64   147031   156686    61332   120175   116472   154967    47993    150958     80958  1375171  2030503  2187712  2639446
             256     128    31899   239952   110971   217673   210174   244989    50276    232723     55019  1224606  2077650  2065659  2030503
             256     256   268649   290844   278329   256765   266980   287650   137556    315638    119679  1430119  2371308  1543163  1400278
             512       4    21289    24967    16163    17923    17571    24747    15959     24898     16453  1055894  1599251  2926501  3325278
             512       8    25003    40522    25408    28031    27993    39318    23153     39819     24429  1135150  1679288  3533174  3762197
             512      16    59446    67149    34251    45054    45980    67138    34515     67218     38820  1279935  1990612  3849877  4030519
             512      32    96913   107118    57265    72653    71052   108110    57762    106867     62722  1316823  1902438  3659616  3795443
             512      64    48079   156387   104470   116339   118163   158511    87446    153525     78250  1376763  1999881  2845081  3259661
             512     128   225131   242658    94871   193435   187474   248413    94308    247240    138050  1496706  2071249  2800557  2722449
             512     256   280394   308821   162125   263792   255263   302598   158558    302769    165690  1227269  2024389  1924603  2039772
             512     512    54801   357567   313144   336184   341368   364982   189911    361115    120106  1326585  2132967  2474613  2237414
            1024       4    21702    25109    16433    17396    16995    25323    15743     24937     15568  1088213  1599731  3179559  3425544
            1024       8    37029    39622    24260    26748    26246    39796    24910     39326     24506  1157109  1732676  3556008  3894582
            1024      16    61127    67081    39236    42443    43952    45050    36814     67408     38273  1241389  1964935  3808251  4146499
            1024      32    98746   107789    56996    67689    67439   108714    62884    107789     56661  1244266  1893052  4044965  4162573
            1024      64    69123   157997   102407   110964   108728   154986    80993    153113    107382  1296083  1942715  3436508  3506651
            1024     128   230691   254218   159677   204514   204145   240038   150918    247579    133908  1383774  1940083  3103735  3103735
            1024     256   285554   298100   153223   239583   231412   292317   232779    295617    209706  1387798  1845071  2632033  2547723
            1024     512    99446   331381   248482   291484   267785   323347   186552    360170    314977  1197769  2011877  2467229  2553783
            1024    1024   371029   404277   365846   372639   354200   377851   314308    385101    178586  1340582  2031864  2694787  2723840
            2048       4    21334    25578    16663    16782    15045    24934    14868     25206     14974  1084203  1596106  3189957  3351769
            2048       8    37222    40438    25613    25602    23976    40543    23843     39998     23304  1187306  1810768  3757946  3779440
            2048      16    61474    66777    38171    39939    39335    67635    38513     66459     37914  1227693  1877250  4130162  4188565
            2048      32    98761   107920    63991    63643    64589   108861    59865    107739     60130  1284033  1896314  4088876  4231899
            2048      64    99398   158354   100068   104319   103219   156911   101551    154857    102108  1272054  1838281  3549844  3606479
            2048     128   231885   242141   180742   176766   171566   140274   171840    241597    192135  1229979  1828888  2929912  3038742
            2048     256   290212   308981   174238   213203   215379   300559   215438    305118    226774  1279062  1758140  2840769  2897301
            2048     512   169297   370802   286313   299542   274528   362355   217986    367738    336295  1369829  1710867  2810101  2883684
            2048    1024   360122   409282   299459   351660   338109   413160   294965    424282    309126  1276781  2202092  2812862  2955111
            2048    2048   373576   342312   376886   395670   384237   159513   337723    419926    324665  1340333  1974785  2579710  2639154
            4096       4    20516    24994    16627    16716    14442    24842    14406     25480     14672  1088794  1590168  3163410  3330202
            4096       8    34599    40294    25510    26338    23293    39408    23061     39794     23211  1186225  1797281  3660115  3930595
            4096      16    65957    66563    38907    37270    38147    66061    37033     65983     38216  1228906  1811686  3781775  4192455
            4096      32    83348   106895    61923    62998    62411   107418    62551    108872     61680  1175591  1752724  3477139  3867766
            4096      64   144985   156785    97493   103366   101956   155527    99004    156002    101195  1252194  1798034  3436107  3630721
            4096     128   229120   249316   176857   187116   186929   243548   159179    242739    172181  1264638  1798034  3377339  3599532
            4096     256   291135   306379   214191   211645   210018   304695   203194    305698    215738  1178737  1642936  2884558  2917377
            4096     512   342906   362033   289263   283539   305165   363250   267504    351918    304333  1227852  1595632  2799936  2838800
            4096    1024   227608   393809   349192   335545   329736   398209   332577    393241    337649  1381928  1758645  2484145  2797657
            4096    2048   397822   178663   364383   385684   392675   379189   335571    406751    325032  1325115  2367741  2436582  2417722
            4096    4096   393584   386413   272195   385252   386491   364894   369938    366724    374437  1326855  1854315  2409246  2407895
            8192       4    20686    24159    16416    16210    14174    24386    14292     24522     14381  1094022  1440732  2544071  2744211
            8192       8    37000    39777    25576    25995    23218    39842    23519     40844     23348  1214176  1614208  2852423  3121964
            8192      16    63006    66131    39707    39540    38059    66322    38519     66338     38067  1280560  1715601  3015121  3278036
            8192      32    96532   107045    63636    63066    63590   107464    62943    106074     62095  1231319  1642293  2885722  3143385
            8192      64   144873   164461   102538   102451   101775   152816    99029    153581    101103  1281802  1710222  2898625  2998544
            8192     128   228145   240565   181793   186627   171158   240942   178887    241895    182259  1278606  1697464  2907947  3026275
            8192     256   287368   297523   210504   218307   220174   299197   214574    302143    200991  1187570  1601867  2828705  2950142
            8192     512   339987   352133   270971   286083   278638   346372   269252    352224    306608  1145103  1468942  2146168  2192595
            8192    1024   383895   390093   337449   345727   342789   390501   333820    376694    331137  1191193  1509800  2231614  2272348
            8192    2048   371200   380916   361819   394663   391868   372957   368711    381077    340580  1414399  1829805  2548789  2525930
            8192    4096   378453   386634   417855   424766   409967   381432   376401    377269    377841  1308603  2446960  1998960  2000007
            8192    8192   369873   401784   434637   444011   439743   389761   438895    397439    455591  1290467  1779761  2326507  2365590
           16384       4    20874    24194    13589    13224    14225    24175    14280     25242     14578  1090598  1459359  2661502  2819977
           16384       8    23651    25447    21972    25669    23390    40825    23336     41514     23429  1208981  1638565  3061300  3196134
           16384      16    59138    66534    39717    39769    38026    66221    38377     66859     38089  1239890  1680272  3154468  3332207
           16384      32    96412   105473    62770    62785    63117   106547    62879    105378     63810  1279101  1737806  3229631  3409751
           16384      64   143424   154792   102205   102116   101685   152619   100234    153418    100225  1260195  1707748  2938889  2986530
           16384     128   227514   243523   182163   183988   181925   241445   169777    243866    172750  1260981  1715636  2957481  3044752
           16384     256   293530   307952   216937   215072   214523   302622   212095    298568    212937  1184740  1588492  2952653  3007310
           16384     512   345501   351106   270572   283719   275532   349995   269380    352670    267874  1116685  1471515  2365248  2351006
           16384    1024   375444   378855   343192   345843   350159   388024   341803    387860    347215  1169955  1557706  2666252  2648475
           16384    2048   375512   375892   378147   384718   384429   376929   379075    383843    392620  1242806  1594870  2601452  2586666
           16384    4096   378732   387613   395232   406105   407937   380785   411440    373585    400489  1399017  1766848  2306966  2323974
           16384    8192   383026   387805   434579   434565   444036   387932   428407    386214    442142  1312196  2404476  2076254  2143678
           16384   16384   374097   396400   456493   447331   461884   381379   450519    390170    463154  1287030  1759294  2380735  2391173
           32768      64   143820   155415   102540   102816    91852    83290    77409    143089    101040  1247927  1701086  2985738  3030439
           32768     128   229776   243165   173412   174321   176624   244712   170516    242833    173988  1263460  1707744  3092490  3116331
           32768     256   291992   308207   219176   217327   216724   302441   217805    300751    218418  1144696  1541299  2798548  2838779
           32768     512   330189   339511   281299   281205   280290   333734   277485    328093    278542  1107630  1477761  2445193  2492825
           32768    1024   375788   379553   344281   341941   343699   374380   342203    374278    347711  1121650  1491343  2676679  2647496
           32768    2048   379628   374632   391353   391891   394339   372846   389798    379848    368031  1111571  1424329  2388506  2355552
           32768    4096   377433   380342   420414   424202   419915   382098   410014    384908    402376  1215738  1564939  2331259  2350637
           32768    8192   386465   391961   444065   447375   442714   390128   448875    383202    452445  1319158  1689418  2039704  2012406
           32768   16384   384244   382803   455136   468282   467366   387584   459746    396245    459959  1267281  2245925  2238864  2270037
           65536      64   144776   152789    99249    84651    80891   152768   102409    154657    102986  1235829  1687031  2912310  2914132
           65536     128   227551   244231   176415   174497   174005   240224   176888    243422    178716  1238050  1678471  2911293  2933288
           65536     256   291561   306114   217713   216472   203590   168452   176495    168570    192434  1156797  1557674  2948359  2966079
           65536     512   339640   349460   277392   279001   278840   345382   278596    345558    278024  1107647  1485137  2581672  2631321
           65536    1024   375762   377105   343559   345440   346922   382658   344258    377921    344122  1092559  1457713  2590968  2561607
           65536    2048   375059   375528   386649   390657   390841   380868   386249    374892    387188  1102056  1442725  2570350  2604988
           65536    4096   374547   377842   422333   422818   421504   380580   419148    377131    408171  1124213  1435080  2255264  2263155
           65536    8192   385333   386791   425741   449921   450218   386103   449396    387913    447876  1194322  1516017  2200153  2202603
           65536   16384   387356   366932   467353   469547   469236   386610   465590    390202    448929  1321046  1674657  2188974  2186137
          131072      64   144089   151451    91317    92500   102129   154978    99460    154905    101759  1229409  1684967  2925776  2940691
          131072     128   229409   243350   163157   135134   138927   239755   177265    244869    178012  1231507  1683363  2934757  2932252
          131072     256   273472   305493   224253   173115   178500   180638   228536    299563    229819  1151895  1540986  2984870  2946159
          131072     512   329751   320046   279246   279773   223444   211700   219714    311347    281432  1096138  1460722  2588367  2586419
          131072    1024   373776   351288   344241   342931   284605   294594   258234    282366    263882  1095570  1441412  2579090  2652636
          131072    2048   377518   379320   393815   392513   336319   315185   297951    311883    303908  1076300  1399846  2492897  2515678
          131072    4096   344781   378711   420954   421388   374306   355960   318879    335549    323544  1095661  1416291  2220017  2242237
          131072    8192   362259   370675   366884   390440   381169   377019   383506    379917    370277  1122959  1446391  2195915  2185118
          131072   16384   386237   377707   347979   351659   330173   385360   350558    387083    352813  1204197  1539165  2253219  2283249
          262144      64   133312   154073    92485   100167    99500   154914   100537    155123    102243  1241293  1688592  2972891  2981719
          262144     128   223626   257029   145690   152597   178445   243281   178833    240438    179118  1237432  1682275  3021617  3024659
          262144     256   286763   295538   199172   179998   220788   297831   232249    294824    232590  1145789  1538142  2997849  3003065
          262144     512   325045   340110   250287   218478   232238   344592   278985    332657    279978  1106853  1458041  2586624  2576858
          262144    1024   359843   377407   315773   263056   267562   281849   311477    378448    347468  1086462  1437287  2626221  2597827
          262144    2048   359519   375218   365070   297512   298832   322823   300020    369607    393082  1075166  1397996  2578556  2587720
          262144    4096   381386   364380   391624   317842   320642   350749   370439    337170    369335  1073108  1393418  2208644  2267469
          262144    8192   366418   363867   337986   352820   340254   361721   331853    374453    331559  1095621  1417262  2283604  2301611
          262144   16384   383180   375901   438549   352915   353437   384845   345998    384432    341988  1114225  1420635  2189260  2175937
          524288      64   142423   155735    98410    99997    99756   155906   103166    155673     95072  1241121  1688527  3000888  2988226
          524288     128   224785   252440   150128   180454   179712   243446   178048    240394    154946  1236237  1688098  3055914  3080024
          524288     256   283094   302640   189528   224848   232865   294055   230401    297848    188301  1150322  1539877  2962901  2982333
          524288     512   334128   343821   233976   252973   281423   337935   279634    335651    232388  1104617  1456472  2604589  2572574
          524288    1024   361225   371127   290925   269238   326098   369262   345605    373149    324040  1096091  1437090  2658378  2662930
          524288    2048   372627   366526   327329   297156   314767   374720   386401    374265    327302  1068961  1391770  2589240  2598314
          524288    4096   375061   368762   354754   317920   318048   353638   416180    374280    354104  1061077  1379683  2233996  2253315
          524288    8192   379416   382129   378293   341381   340228   361868   342349    380938    384373  1084115  1404166  2235827  2249776
          524288   16384   381838   381166   393634   353995   353639   376776   351606    382197    392346  1084016  1413327  2265369  2266712

iozone test complete.
