	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Sep 22 11:44:05 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    20415    24436    10860    18069    18296    24980     9648     25205     11347   809014  1279447  2067979  2772930
              64       8    38321    40458    18653    28191    28673    39704    24616     39751     19161   955947  1452528  2203800  3022727
              64      16    61655    62868    38574    44503    43213    64453    38786     64717     25921  1033216  1638743  2203800  2801873
              64      32    99686   100319    39976    77008    71358    98335    31904    102385     48710  1188789  2067979  1991276  2379626
              64      64   158107   140999   113705   111485   106657   138525    60775    139099     44852  1083249   877797  1363961  1421755
             128       4    21493    29105    13697    18353    18251    25039    16815     25222     14594  1007629  1455701  2714132  3124872
             128       8    38060    40883    21847    28262    28602    40251    25764     39654     24762  1121270  1663139  2969325  3468030
             128      16    60181    65211    29906    44304    43538    66876    40263     66528     34828  1254941  1802755  2985839  3468030
             128      32   102323   103727    32445    71632    71632   102323    41910    105169     33844  1363288  2090572  2660335  2985839
             128      64   142224   147136    66976   119522   110928   156485    84495    147987     67051  1183041  2066432  2035099  2066432
             128     128   194250   214336   190798   189051   176788   214421   146613    204771     32447  1306873  2132084  1455701  1373754
             256       4    21376    25071    15887    18020    18001    25199    15891     25278     16704  1103757  1579483  3087188  3368013
             256       8    37520    39500    21106    28673    27956    40099    20909     39820     22346  1231629  1802167  3368013  3717869
             256      16    62485    64910    35418    45317    44336    66892    34603     65995     40809  1219045  1907837  3499745  2943325
             256      32    98845   105862    53827    73328    73349   107387    51947    104573     56373  1237306  1981783  3087188  3368013
             256      64   145536   151834    56376   115994   110583   148659    47610    150599     58569  1532153  2097948  2747508  2783115
             256     128   213858   220852   111501   182057   176549   225537   101231    224547    104107  1362952  2210228  2118645  2081678
             256     256   247588   273787   218827   220852   213009   273787   131347    290923    130279  1430119  2392442  1306564  1400278
             512       4    21390    25306    15808    17950    17938    24974    16043     25020     16783  1044594  1619757  2768068  3415178
             512       8    36977    43265    25759    28486    28606    39473    24312     39853     23776  1204552  1815584  3684733  3459188
             512      16    61700    67393    37912    45709    45620    67421    34913     66475     38929  1258188  1963313  3822466  4061007
             512      32    98690   107655    51010    73141    73827   107903    55737    105871     64629  1354190  2022482  3736016  3905895
             512      64   146368   153976    87728   114259   113672   157062    85992    157685     95342  1309596  2047551  3304808  3393590
             512     128   210335   223677   133859   188511   183973   222426    95152    225841     79616  1454140  2041711  2681653  2625909
             512     256   257282   277818   120443   222012   222610   274235   124847    273641    163944  1340664  2246778  2073249  1940253
             512     512   231240   331156   297855   306572   309756   340664   174736    355084    187818  1339827  2124526  2613128  2655129
            1024       4    21480    25255    16771    17359    16721    24974    15548     26101     15406  1095150  1638796  3314514  3345496
            1024       8    37302    39634    25409    26721    25770    39835    23658     39949     24716  1174513  1771262  3748425  3894582
            1024      16    60819    66692    39451    42118    41881    66981    39090     67311     37969  1265531  1889720  3680961  3981224
            1024      32    97255   107743    62237    68107    67738   107697    62756    107757     59687  1238168  1872419  3738636  4033569
            1024      64   146621   156312    93286   107304   104574   158662    78079    157753    106867  1294520  1861867  3366474  3436508
            1024     128   213735   225946   161873   178489   179212   227502   153042    222943    115338  1328146  1868347  3189002  3048658
            1024     256   265288   280097   208091   231774   223384   278951   193025    279623    192808  1419915  1917562  2553783  2522288
            1024     512   325184   349844   247337   320716   310671   345482   222897    353355    226949  1250425  2060128  2760606  2760606
            1024    1024   326221   365472   358158   356523   356316   383109   326941    389502    226398  1376677  2129589  2744728  2852271
            2048       4    21484    25240    16699    16776    15313    25298    15043     25199     14771  1092338  1621413  3245396  3362265
            2048       8    37205    40835    25236    25414    23836    40652    23389     40956     23688  1171598  1802788  3799501  3871422
            2048      16    60821    67158    38366    39469    38913    67211    38647     66331     38372  1229979  1899669  3841986  3960675
            2048      32    98588   107213    59272    63040    63466   107022    63646    106767     61340  1270548  1891303  3962502  4104506
            2048      64   146067   157622    97976   102538   100609   160365   100279    156488     94096  1269610  1828888  3298992  3441748
            2048     128   215579   229108   153534   164694   163565   226451   153581    227254    163266  1302727  1843410  3384788  3379461
            2048     256   263747   275939   197225   204962   204270   276570   208150    276685    236267  1301938  1747411  3029098  2901215
            2048     512   332353   351833   254352   287926   285590   335468   275788    330155    284408  1356204  1770096  2864451  2989045
            2048    1024   344606   375371   264193   318608   309649   378631   312431    335455    309638  1196902  2046291  2592948  2566606
            2048    2048   374210   396987   349969   355620   358051   390614   361516    374406    248272  1337619  2031771  2673655  2748949
            4096       4    21365    25158    16687    16699    14457    25713    14476     25223     14752  1097207  1533532  3057021  3390670
            4096       8    36966    40527    25553    25860    23625    40937    23158     40440     23369  1166967  1718192  3586757  3894067
            4096      16    60699    67193    39158    39765    38055    66968    38064     67928     38578  1218965  1770790  3697135  4083827
            4096      32    97509   106758    62326    63199    63610   106794    60565    107354     63520  1260278  1842581  3778448  4100397
            4096      64   144811   158157    99244   100725   100557   154775    98044    156479     96610  1239277  1723881  3227596  3474326
            4096     128   215603   225425   145192   157683   157861   225638   155853    205570    109918  1241247  1751295  3242827  3379332
            4096     256   266545   277395   194715   203567   203194   274549   184869    274825    220997  1225662  1667818  3138560  3261295
            4096     512   335847   343022   263491   282717   284879   344232   260593    345624    274733  1246199  1617110  2703870  2850103
            4096    1024   352466   371418   281025   326038   307256   373582   295802    371281    320778  1384824  1768603  2516162  2861973
            4096    2048   329818   355589   339464   359962   376118   395787   296619    346999    346971  1338120  2457143  2292236  2370354
            4096    4096   352069   391654   397748   402944   401766   371659   376744    376192    348420  1331999  1892721  2380206  2394138
            8192       4    20726    24492    16448    16679    14356    24538    14258     24563     14524  1100011  1438982  2591465  2770319
            8192       8    36675    39546    25518    25428    23064    40234    23278     39887     23160  1230393  1627358  2893742  3120547
            8192      16    59474    66146    39750    39686    38258    67508    38144     66426     38947  1271697  1673488  2946853  3185053
            8192      32    96911   105779    62913    62296    62656    90694    59160    106276     62727  1220126  1599629  2762746  3026275
            8192      64   144393   156276   100220   100751   100369   154756    99117    154685     99896  1271461  1694952  2932017  3052081
            8192     128   215126   224444   153488   161466   160519   223654   160322    224265    156222  1264815  1698554  2892768  3008521
            8192     256   264933   275889   203592   207729   207345   276793   197611    275574    204765  1204007  1611332  2759196  2809278
            8192     512   332454   345407   277666   286623   283283   344680   275276    342160    294888  1175986  1540187  2601472  2620519
            8192    1024   348254   354476   297910   317913   316219   355323   293505    352766    331850  1251273  1594655  2622319  2630751
            8192    2048   353060   363138   352998   369142   364982   365993   338090    353485    358325  1409757  1807189  2576116  2483033
            8192    4096   271934   384945   414848   416134   413699   371670   392692    378716    354418  1331782  2460099  2375895  2358122
            8192    8192   380052   368908   430186   428181   422178   384380   430638    379662    416386  1125412  1477659  1969738  1973018
           16384       4    20690    24243    13598    13384    14387    24506    14418     25267     14461  1097688  1444390  2688155  2788282
           16384       8    36652    39497    25715    25709    23371    41381    23333     40425     23504  1202760  1620405  2987568  3165365
           16384      16    60364    66043    39888    40098    38554    66958    38418     66875     38366  1253163  1717050  3075136  3235409
           16384      32    95984   105598    62893    63458    63451    94629    61546    105395     63274  1250859  1666580  3071013  3257185
           16384      64   143338   155657   100592    99661   100190   152895    99826    154164    100298  1258280  1710213  2916314  3015625
           16384     128   216299   227214   160690   159745   159807   227998   155803    228100    153154  1239890  1678713  2772197  2813166
           16384     256   266085   275449   205405   207313   205867   275111   202840    217782    188975  1186827  1604103  2950498  3021193
           16384     512   334784   344108   284212   286708   279848   339761   278805    342918    281608  1150082  1537836  2661502  2613125
           16384    1024   362726   357058   310897   323763   317901   359257   299015    358502    313713  1156177  1500759  2545278  2575614
           16384    2048   364761   367848   368902   376236   373185   367733   358457    374234    359946  1230962  1613405  2618901  2619700
           16384    4096   369716   377217   417106   417864   407287   360952   406812    385026    415962  1368401  1741682  2278058  2292804
           16384    8192   379339   383655   422541   444950   440005   380376   431338    380749    431590  1207558  2104292  2029469  1999007
           16384   16384   381068   395385   457270   444878   450555   379215   423097    385063    449132  1254627  1712942  2319973  2359806
           32768      64   144646   154321   100928   101474    89517    78687    76070    142916    100529  1235641  1664961  2762880  2743029
           32768     128   217230   227933   160629   160311   159029   228480   160956    230002    161242  1242017  1690125  2940448  3025370
           32768     256   266827   275935   205481   205591   205890   274340   203203    275067    201769  1162276  1561721  2742755  2739093
           32768     512   331790   340704   282907   283543   281579   338214   281807    333109    281233  1119202  1502708  2485072  2514994
           32768    1024   352438   360909   322069   324384   321163   350261   322857    357424    318070  1113381  1456417  2505367  2500444
           32768    2048   361310   371068   314680   371570   368930   374226   365062    369637    362105  1153109  1492979  2647292  2615752
           32768    4096   376484   373072   415747   420087   418348   373148   413652    380328    413237  1191517  1503876  2163343  2163752
           32768    8192   341917   387246   440607   440329   437613   386205   446010    388379    429885  1378666  1761342  2245007  2270524
           32768   16384   381377   386197   447662   450636   458806   372215   359344    381822    457334  1260944  2295783  2256582  2288749
           65536      64   143403   154054    95624    82165    80380   152689   100029    153185    100288  1242600  1690372  2933946  2909197
           65536     128   214495   213046   159650   161544   160633   229575   162184    229036    161363  1236085  1689676  2938179  2925982
