	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Sep 22 10:25:31 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    20433    24205    16732    18017    17982    24643     9717     24428     10897   842003  1255511  1933893  2772930
              64       8    39361    41027    14519    28245    27754    39240    20233     39459     14031   955947  1460430  2203800  2892445
              64      16    61066    67297    37824    44050    44912    65990    37734     65507     25670  1066042  1734015  2203800  2772930
              64      32    96984   107770    34745    73067    75301   100282    31098     99207     41052  1124074  2067979  1105556  2298136
              64      64   160854   145429   112702   113273   106277   140409    63298    140999     43388  1083249   939223  1452528  1492919
             128       4    21632    25102    15246    18140    18372    24511    16928     24573     13957   992724  1471662  2673584  3036502
             128       8    35734    40765    26127    28731    28616    39949    22229     39801     25019  1093856  1658003  2905056  3359523
             128      16    60836    64189    30687    43433    43185    66834    40113     66801     34857  1217930  1852520  2969325  3468030
             128      32   103129   107571    33014    73859    72512   103907    41790    104841     33552  1406136  2098744  2784517  3124872
             128      64   151452   142224    63521   108200   105438   144483    92487    149346     59813  1175271  2066432  2004703  2066432
             128     128   182063   185204   148314   160365   147621   184440   129154    184948     85668  1278855  2090572  1436229  1359835
             256       4    21214    25107    14921    17847    17973    25125    14733     25016     16735   966633  1422540  3017775  3245838
             256       8    36850    39426    23130    28441    29140    39913    23088     39215     22623  1079348  1802167  3245838  3545976
             256      16    61805    66028    34863    46119    45463    67599    34343     66717     39245  1262029  1956506  3275543  3605511
             256      32    98727   105394    44600    71866    72727   106980    42666    105778     56701  1415041  2114473  3378611  3605511
             256      64   144790   157352    82845   114951   114339   153857    76598    150409     60677  1506359  2049885  2639446  2699161
             256     128   194243   194666   109870   156961   154699   190487    99146    193648    109971  1267990  2170027  2061693  2030503
