	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Sep 22 11:35:37 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    20435    24086    13439    17481    17467    23863    13330     24352     13675   809014  1255511  1947927  2772930
              64       8    34817    39194    18571    27645    27096    37782    23348     37144     18880   987600  1421755  2298136  2772930
              64      16    60666    65844    35711    43870    41102    63734    38955     62692     25609  1049372  1690338  2222043  2772930
              64      32    95808   100319    20759    72397    69474    98335    20311    100169     26090  1143223  2067979  1734015  2379626
              64      64   158855   141296   111300   114285   104579   132246    25881    139461     24077  1119387  1780008  1452528  1518251
             128       4    21307    24251    14700    17728    17970    24445    16646     24662     16181   976473  1436229  2608629  3036502
             128       8    36015    39360    21698    28163    27833    38381    25625     38552     24408  1114289  1684006  2969325  3445772
             128      16    60459    65473    23823    43744    43240    63869    37285     65907     25201  1209698  1827299  2843510  3380677
             128      32    97121   103988    46458    71110    71072   102557    63147    105687     48376  1349580  2066432  2608629  2905056
             128      64   141624   146613    72561   115510   111969   147987    91431    145936     40227  1185654  1663139  1975201  1975201
             128     128   212302   247086   210553   211632   203838   232733    62559    232330     44154   969421  2004703  1440082  1346196
             256       4    21213    24903    15738    17601    18016    24883    15876     25271     16746  1031644  1570244  3017775  3285566
