	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Sep 22 11:09:20 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    20665    24140    11076    18150    17610    24269     9435     24051     11142   831569  1232453  1947927  2801873
              64       8    38669    39384    14391    28609    27898    41027    19453     38809     14066   969761  1421755  2278628  2923952
              64      16    58779    62692    37867    43899    41235    66944    40458     64515     26047  1066042  1638743  2203800  2772930
              64      32   103053   107943    38120    73306    72968   108642    32455    100169     45615  1183548  2133730  1879725  2203800
              64      64   140630   162805   113273   112090   120062   139751    55269    144802     39413  1066042  1017549  1363961  1392258
             128       4    21251    24625    15018    18189    18058    24907    16906     24720     14186   953918  1421023  2558895  2985839
             128       8    36939    40303    21746    28959    28886    38738    25186     39179     23916  1142750  1663139  2905056  3359523
             128      16    58394    64228    29663    44691    44151    65100    38881     65108     32569  1266785  1852520  3053774  3468030
             128      32    96389   103807    33280    75162    73095   106653    44632    133191     34206  1332828  2058509  2727923  3036502
             128      64   135751   148314    65473   120758   108572   145936    94890    142375     64513  1185654  2098744  2035099  2098744
             128     128   210884   206107   183369   187664   175344   211966   155128    212638     70098  1332828  2098744  1455701  1377278
             256       4    21106    25083    14673    18071    17852    24987    14518     25110     16577  1049800  1532153  2903529  3159869
             256       8    36239    39913    23134    28403    28036    40017    23129     39108     22497  1153561  1802167  3326279  3654598
