	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Sep 22 11:17:58 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    20189    24260    11136    17817    17802    23038     9686     24269     11816   831569  1232453  2006158  2772930
              64       8    37958    40815    25548    29344    28035    38464    19595     40428     14094   998622  1452528  2298136  2923952
              64      16    61783    67790    38050    45330    41184    66529    40156     63238     27549  1033216  1638743  2203800  2772930
              64      32    96984   110339    37937    71989    71816   101610    31312     99243     41420  1183548  2006158   952555  2358717
              64      64   157181   140925   113273   111300   106657   141893    59103    140335     41612  1124074  1722886  1336792  1392258
             128       4    21202    24907    12972    18267    18280    24854    17287     24858     14474  1000121  1455701  2673584  3036502
             128       8    35632    40814    21301    28101    28502    39239    25136     40074     23421  1102844  1637771  3053774  3560017
             128      16    61064    63846    32461    42667    50773    64097    39543     67219     33282  1266785  1778862  2969325  3468030
             128      32    95226   103487    32478    74984    73475   105190    44031    101760     34585  1306873  2066432  2673584  2905056
             128      64   142074   147987    69070   111596   110813   145936    97634    154771     68480  1196221  2058509  2098744  2132084
             128     128   188190   194532   166223   158238   152571   188786   132632    188786     87242  1229084  1967960  1424795  1373754
             256       4    21104    24987    14734    18272    17875    24613    15750     24448     16623   992545  1591186  3087188  3285566
             256       8    36670    40462    23743    28166    27938    40011    21211     40372     22600  1185399  1790149  3410808  3756894
             256      16    62976    66268    36404    44724    46002    66788    34482     67088     39894  1230218  1662639  3465855  3823789
             256      32    95880   106895    42278    72521    72277   106980    50107    106672     60588  1280084  2049885  3207059  3511189
             256      64   148659   156755    82229   116308   114023   150156    48111    154499     62073  1292410  1652404  2557711  2665657
             256     128   182212   193334   113481   158912   157930   191780    94571    189178    109780  1254656  2223962  2170027  2081678
             256     256   243103   290294   231070   230179   226346   275261    84401    273230    123307  1479379  2413957  1532153  1398455
             512       4    21519    24969    15800    17991    17821    24833    16227     24721     16659  1040545  1546280  2830083  3415178
             512       8    37711    39733    25590    27900    28263    40074    24114     39773     26995  1152822  1842059  3659616  3279573
             512      16    60728    66946    37594    45130    46873    67868    34269     66640     35278  1213400  1842059  3710197  3877684
             512      32    95554   106091    52416    73678    71971   107423    57309    106915     64949  1344020  2073249  3710197  3877684
             512      64   144925   156137    90478   115395   118679   152750    91871    158957     97862  1267097  1924603  2796910  2860238
             512     128   191111   182658   127675   155436   154076   199454   115600    192034    124847  1509330  2022482  2509312  2638816
             512     256   254236   281607   123108   217119   216943   274410   126951    275855    171458  1230786  2265742  2014892  1933266
             512     512   253965   340017   286376   298352   277065   342949   191760    337718    211121  1387437  2105777  2207515  2497638
            1024       4    21245    24945    16127    17288    16576    24648    15519     24676     15218  1081363  1612342  3304314  3291652
            1024       8    39359    40172    24963    26611    26131    40015    23710     40068     25082  1199106  1809317  3849207  3984917
            1024      16    60855    66274    38951    42503    41744    66398    39613     66432     36021  1297649  1896395  3955557  3894582
            1024      32    97451   106944    55279    67832    67537   107181    60122    107732     59844  1280243  2008114  3984917  3751699
            1024      64   146053   158586    92828   109647   106467   155317    90956    154869    103906  1281389  1889720  3348104  3556008
            1024     128   190829   198145   136918   154635   155954   198145   132659    199963    121152  1314729  1900591  3229770  3181915
            1024     256   256373   277958   178586   231937   222079   274301   146491    276456    202652  1400926  1872419  2528227  2450338
            1024     512   322304   337156   270620   279024   279314   330539   275852    334973    184406  1289855  1976691  2659742  2646630
            1024    1024   285307   309931   322328   324962   319999   384103   263110    389220    250803  1345623  2052253  2820430  2837198
            2048       4    21443    25087    16669    16914    15253    25347    14755     25035     15129  1070022  1594920  3292669  3324528
            2048       8    37650    39968    25217    25547    23932    40418    23906     40132     23502  1165715  1818820  3710866  3730203
            2048      16    60368    66993    38950    39513    38522    66220    37660     66915     38105  1255690  1875611  4038890  4162181
            2048      32    98760   107366    59853    62570    63147   107365    63089    107157     62604  1219675  1894223  3821475  3922692
            2048      64   146684   156562    92611   100614   100486   156192   100619    154729     91941  1305301  1865023  3513544  3626272
            2048     128   195306   198314   130870   133343   134128   198488   132096    198332    143969  1293702  1872340  3413030  3372826
            2048     256   266844   276418   197017   208045   208045   277132   204386    275082    180204  1187799  1710867  2578935  2543804
            2048     512   310725   306402   256027   275002   273174   314019   257154    300296    269405  1343057  1715309  2797290  2840769
            2048    1024   338949   367628   259015   315715   307973   376540   319401    368353    333708  1203947  2064488  2691246  2626244
            2048    2048   391737   381659   391059   375437   346706   396437   328942    387583    382236  1313685  1984824  2534797  2525110
            4096       4    21324    24751    16769    16652    14429    24856    14406     24923     14643  1089968  1574285  3103408  3408159
            4096       8    37860    39937    25556    25732    23846    40930    23171     40285     23617  1157688  1732050  3561476  3893185
            4096      16    60732    66926    39522    39628    37691    66253    37998     66248     38181  1237849  1876390  3656998  4096486
            4096      32    97630   107073    61723    63317    62315   106808    62598    108202     62793  1182144  1784772  3430618  3859945
            4096      64   145718   157464   101363   101672   101365   154083    95449    154659     97380  1258339  1788674  3439547  3621537
            4096     128   190175   198018   131950   135310   132987   199367   129784    198623    134049  1260740  1786999  3454069  3646906
            4096     256   266508   278037   185474   205767   202411   275398   187287    276271    224313  1211829  1671062  3228203  3316701
            4096     512   302532   330644   255550   265146   261589   319954   248393    319805    246109  1163963  1542205  2519114  2698349
            4096    1024   339665   366661   303945   314691   313485   362224   316733    368779    327786  1394605  1739944  2582737  2880206
            4096    2048   350175   381488   309481   374168   378880   382763   315853    378487    331876  1304489  2416702  2479127  2618960
            4096    4096   363796   361583   393927   389806   399728   381556   340392    374306    345651  1309061  1860137  2406546  2420789
            8192       4    19683    24906    16538    16563    14299    25120    14137     25000     14554  1102694  1446859  2510611  2763857
            8192       8    37267    40003    25660    25420    23242    39671    23090     40005     23286  1222861  1603436  2887420  3097200
            8192      16    60142    65815    40089    39863    38050    66232    37845     65872     38218  1285831  1710903  2986555  3273040
            8192      32    96570   105262    63098    63270    63344   106569    62254    106715     63356  1307408  1761332  3044239  3297857
            8192      64   143759   156136    99079   102403   101359   153080    99663    154779    100319  1279796  1716973  2929767  3040737
            8192     128   190395   198864   132873   133834   132959   198165   131126    197074    131670  1289644  1727504  2975692  3098317
            8192     256   262100   186144   180420   202923   201396   275010   193861    273504    200406  1201691  1606886  2806524  2914360
