	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Sep 22 11:52:46 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    20239    24408    12866    18327    18464    24595    13181     24616     13516   673098  1255511  2052169  2662899
              64       8    38387    39286    18422    27788    27280    40765    17500     40691     21783   821391  1460430  2278628  2923952
              64      16    62255    69420    39240    44144    43656    64764    40846     64515     28331  1033216  1679761  2222043  2662899
              64      32    95808   103530    66513    69492    68307   100282    43332     99834     21318  1183548  2067979  1991276  1226821
              64      64   140925   140043   112844   115914   106487   135313    23669    137672     28256  1083249  1690338  1330167  1392258
             128       4    21132    24074    15382    18008    17827    24677    16309     25014     16571   985435  1424795  2784517  3199360
             128       8    35367    38552    21929    28814    28045    38730    25018     39470     22807  1133103  1684006  2985839  3445772
             128      16    59422    64197    23452    43776    43894    65842    37100     67796     24511  1085013  1833539  2969325  3445772
             128      32    95024   103149    46262    73991    71910   104923    63778    101434     47884  1391557  2098744  2714132  3053774
             128      64   138055   142224    66668   120406   108858   143479    98856    142716     70754  1209698  2098744  2066432  2132084
             128     128   190798   185268   168678   157080   150772   188520    58503    184440     49381  1306873  2098744  1436229  1377278
             256       4    21164    25243    15900    17865    17756    25120    15498     24617     16707  1057034  1570244  3087188  3368013
             256       8    36749    39299    21047    27684    28098    39756    23140     39209     25009  1062263  1802167  3421677  3717869
             256      16    61745    66511    35715    44951    45189    65072    28913     67000     33781  1224606  1938842  3454704  3770085
             256      32    97305    99302    55231    72399    72073   104910    53332    106629     57527  1325925  2081678  3326279  3605511
             256      64   147394   154878    80757   115620   110868   151107    74334    148228     82476  1447470  2118645  2639446  2719671
             256     128   183897   193648    74457   156094   150683   188514    72170    188382     71712  1254656  2205688  2114473  2049885
             256     256   249718   270068   207454   204646   202983   270340   122730    278257    128256  1495866  2392442  1523457  1248819
             512       4    21175    24847    16554    17944    17932    24602    16154     24697     16115   999850  1600443  3220553  3393590
             512       8    36219    39662    25150    27938    27578    39616    23126     39357     23753  1184618  1840480  3086326  3788747
             512      16    60996    66141    34853    44990    44657    66432    37339     66158     38741  1218910  1968713  3279573  3913012
             512      32    96149   105850    57111    72418    71359   105027    56523    105110     63968  1336492  2065273  3710197  3849877
             512      64   144672   153382    87208   114772   115055   152381    70051    153657     76600  1344020  2039772  3239989  3325278
             512     128   185306   195122    93740   152880   153065   197600   117324    192827    128094  1433753  1889050  2521095  2722449
             512     256   257158   279009   163371   217868   218333   272911   164371    275714    170046  1230786  2225819  1931527  2055390
             512     512   303111   336606   310473   314704   298352   362885   188925    349992    219740  1236455  2030130  2047551  2235086
            1024       4    21164    24902    16345    17426    16511    24767    15330     25432     15515  1049138  1582636  3149251  3436508
            1024       8    36767    39959    25235    26818    24921    39802    24149     39717     23661  1141426  1825466  3764854  3618930
            1024      16    61302    66876    39217    42268    41721    67218    39590     66373     38050  1262555  1878973  3908759  4048778
            1024      32    96904   105905    64414    67337    68399   106401    62596    106811     55676  1338494  2043465  4014717  4110780
            1024      64   146516   158463    95389   110201   108303   153612    87438    155503    107302  1287921  1950656  3483896  3345496
            1024     128   190330   198063   137726   151525   148338   197118   134487    197762    143415  1326096  1964935  3092561  3037876
            1024     256   265698   276527   208172   223001   221929   280171   207869    279096    150033  1354535  1861867  2497356  2381058
            1024     512   319999   343960   232565   306306   299764   339528   163706    344070    308794  1342258  2069060  2708381  2774874
            1024    1024   365971   390245   327689   321508   327689   394910   346541    395674    183578  1378445  2098375  2813041  2829721
            2048       4    21371    25021    16490    16558    15073    24957    14953     24824     14621  1038082  1569280  3324528  3363581
            2048       8    36893    40155    24684    25350    24121    39716    23393     39702     23469  1185995  1828499  3696494  3915540
            2048      16    60265    66542    37928    39181    38077    66417    36945     65856     37763  1220541  1906837  3828288  4016229
            2048      32    97080   106577    62953    62465    64530   108154    58950    105882     59625  1280015  1972971  3960675  4231899
            2048      64   144970   155812    99693   103497   102068   153222   100436    154576     95526  1272808  1865023  3525079  3530875
            2048     128   193572   194418   132214   136024   134958   198158   130621    199275    151760  1190103  1776319  2816551  2872113
            2048     256   261857   277921   173443   198892   204187   279931   206678    277508    198410  1243511  1712231  2963266  2875960
            2048     512   324825   340373   226147   287762   289595   345590   265836    348182    276303  1378181  1773019  2856830  2880782
            2048    1024   364601   400242   300822   338188   318998   396437   288332    395361    239228  1228571  2185285  2798201  2937929
            2048    2048   350083   362615   383448   365252   370674   394308   343215    398349    260855  1352573  2021729  2690403  2749829
            4096       4    21328    24804    16553    16595    14334    25347    14401     24859     14531  1049677  1534080  3005151  3349029
            4096       8    37114    40008    25573    25307    23373    39887    23113     40452     23265  1170944  1751831  3615440  3934195
            4096      16    59942    66213    39717    39546    37328    66319    37502     66414     38018  1242324  1836867  3716329  4075109
