	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Sep 22 12:01:35 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    20183    24280    12830    17961    17853    24343    13131     23684     13335   789967  1226821  1991276  2772930
              64       8    36909    38185    18945    28020    27611    38972    18222     40300     22760   955947  1421755  2278628  2772930
              64      16    60666    64314    37319    43360    44688    66316    39165     67653     28070  1049372  1679761  2298136  2892445
              64      32    95501   100020    66250    71434    73993   104416    25468    107039     20799  1124074  1991276  1991276  2278628
              64      64   141594   140335   117848   117179   107727   140630    24768    140043     29411  1124074  1734015  1429325  1526887
             128       4    20870    24771    15182    18461    18158    24772    16397     24521     16467   940549  1421023  2608629  2985839
             128       8    38450    40920    21244    28094    28082    40077    25078     41184     23045  1030846  1579934  2843510  3277486
             128      16    62010    66322    24173    44183    44384    64676    34762     67186     23841  1206978  1802755  2985839  2066432
             128      32   102167   101896    46009    70448    72679   101414    64684    107185     47583  1391557  2098744  2784517  3199360
             128      64   143172   149014    70098   114086   111203   147987    96096    151838     67160  1185654  2066432  2035099  2140585
             128     128   180533   192164   157218   157218   151666   190190    55240    187402     59534  1294270  2132084  1424795  1377278
             256       4    21109    25349    15430    18201    18034    24854    15777     26907     16569  1049800  1570244  3052087  3316006
             256       8    36483    39733    23211    28005    27807    39252    23015     39894     24954  1178892  1790149  3410808  3705040
             256      16    61364    66150    30313    44522    45592    64420    29223     66842     32981  1114064  1894373  3511189  3756894
             256      32   100983   107569    50624    73459    71531   106144    50086    104532     55554  1304976  2065659  3275543  3499745
             256      64   143975   149884    76993   113722   111885   153198    74748    153483     78750  1391207  2045979  2726577  2783115
             256     128   183269   193369    71270   148413   135799   200444    69924    191336     75072  1280084  2152625  2152625  2081678
             256     256   236153   249023   199217   204490   186193   262284   112636    258061    113975  1437779  2366082  1525622  1197295
             512       4    21136    24819    16046    17842    17811    24700    15999     25256     15889  1084694  1625889  3279573  2860238
             512       8    37212    40744    24009    27939    27642    39650    22686     39423     25439  1225169  1759070  3659616  3822466
             512      16    61309    66260    34582    45165    45442    66260    37869     65540     38058  1289930  1970519  3849877  4091959
             512      32    98613   105694    56262    72165    72143   106491    56926    117215     64265  1402845  2057359  3877684  4068701
             512      64   145043   152154    87488   117917   115544   158114    70486    155481     77073  1210664  1803387  2815243  2875558
             512     128   187687   194012    98063   155200   152608   193418   111327    199843    127267  1484293  2073249  2768068  2681653
             512     256   244732   255354   155099   199454   204389   251232   142701    255993    162027  1283761  2237414  2116152  1999881
             512     512   275113   296294   260307   258210   253845   311644   141675    323669    117833  1406520  2124526  2285029  2521095
            1024       4    21299    25017    16745    17351    16739    25015    15330     25032     15726  1045053  1563622  3121783  3390391
            1024       8    36826    39869    24345    26684    26181    39805    25538     39660     23785  1131503  1724328  3751699  3863055
            1024      16    60523    66540    39599    42567    42386    67595    39514     66880     38032  1193442  1947119  3923040  4033569
            1024      32    97580   106533    61575    67720    67555   106599    59513    107382     56558  1253344  1899750  3955557  3866533
            1024      64   145830   157614   102564   108728   110119   154869    99216    159428    105230  1281771  1932227  3436508  3506651
            1024     128   189173   197762   135249   148837   150211   196576   111679    194678    143276  1247157  1861867  2813041  2791104
            1024     256   240778   257618   146707   213724   212403   252336   186528    253154    162148  1381993  1865101  2592318  2559871
            1024     512   297501   325184   285573   296290   270246   319095   240428    320907    222943  1250425  1992279  2598591  2672984
            1024    1024   323128   385551   348199   339985   335523   386557   363370    392635    171978  1302766  1935711  2426801  2370545
            2048       4    21611    25332    17184    16766    15178    25109    14865     25317     14708  1045919  1605053  3245396  3353078
            2048       8    38154    40299    24765    25425    23935    40772    23522     40011     23187  1176251  1799766  3901313  3999400
            2048      16    60744    67244    38127    39554    38975    66912    38680     66433     36627  1243511  1861789  4008732  4112366
            2048      32    98966   107231    61772    63880    63958   108090    63065    106845     59945  1262704  1967548  4014352  4154130
            2048      64   145567   158893    99248   101961   100560   154648   102139    154832     99858  1271301  1861789  3530875  3618634
            2048     128   189875   198740   131198   136115   141475   199261   132189    198851    150942  1281734  1860176  3309159  3418463
            2048     256   244596   252713   166488   189787   192968   253968   187267    251352    208256  1248028  1723915  2963266  2984890
            2048     512   299146   320450   214899   257254   252683   316099   261125    319105    268093  1342008  1754908  2893397  2763987
            2048    1024   341958   391576   311152   359866   340764   389498   299992    379249    328363  1274318  2185285  2775597  2864451
            2048    2048   348422   329270   407805   403874   402512   369272   365330    375076    351760  1373553  2079481  2684517  2832339
            4096       4    21444    25068    16709    16871    14437    25173    14459     25709     14649  1052958  1589432  3195181  3390670
            4096       8    36938    39998    25300    25337    23141    41126    23256     40532     23777  1153490  1757206  3519162  3859945
            4096      16    60001    66330    39110    40041    38356    66473    37345     66505     38121  1157766  1734848  3673419  4019805
            4096      32    98262   106755    63978    63233    63396   107464    63060    108884     62268  1245386  1798034  3628421  4072211
            4096      64   144560   157013    97586   102413   102702   155099    99229    154456    100355  1254847  1786256  3497668  3751222
            4096     128   192435   198114   133529   133895   134364   198247   125355    198882    133930  1261481  1782364  3445064  3660115
            4096     256   244811   253338   182677   197388   188046   249089   183183    251348    191142  1163017  1596225  2830848  2921843
            4096     512   306811   317277   239953   262834   258714   318282   248649    321126    260859  1214313  1637143  2730514  2824797
            4096    1024   340770   352531   178732   338061   351191   391360   206283    370880    338767  1299948  1646400  2251678  2595614
            4096    2048   375124   334695   346852   387844   384270   353620   355280    396509    310448  1313163  2476268  2494244  2550150
            4096    4096   389020   369413   398209   402434   397316   390764   365880    338620    384485  1295341  1804455  2265336  2314159
            8192       4    20572    24397    16420    16816    14394    24564    14330     25071     14383  1063051  1441275  2537121  2736997
            8192       8    36410    40179    25370    25464    23154    39905    23221     39779     23427  1197670  1617628  2812037  3058874
