	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Thu Sep 22 12:19:10 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4    20452    24388    13187    18172    17567    24188    13158     24214     13648   789967  1183548  1879725  2892445
              64       8    39407    40126    18779    27959    27728    40379    18524     41109     23460   926260  1310683  2379626  3057153
              64      16    62140    65379    38647    43899    43388    65109    39605     68377     28132  1083249  1638743  2203800  2892445
              64      32    96392   100469    66811    72319    71510   101265    24436    101572     22463  1183548  2006158  1933893  2278628
              64      64   140630   140999   113656   113082   107597   141594    23095    140335     26565  1119387  1734015   901377  1526887
             128       4    21329    24700    14920    18422    18202    24936    16586     24192     16696   907174  1332828  2608629  3124872
             128       8    34914    40583    22057    28816    28419    38543    25513     38716     22491  1076312  1543594  2969325  3468030
             128      16    59343    65770    24115    43581    44046    66635    35894     66843     23859  1155043  1755594  2905056  2066432
             128      32    97051   113388    47057    74165    72356   105087    63778    107292     47532  1303699  1975201  2608629  2985839
             128      64   162648   183432    73646   124022   111782   146774    95599    148643     63709  1172704  2090572  2066432  2166499
             128     128   189051   179807   169530   157218   150772   186555    64684    188786     51464  1291158  2132084  1451764  1406136
             256       4    21296    25389    15856    18002    17938    25226    15819     24924     16728   999940  1447470  2943325  3197509
             256       8    37389    39849    21351    28558    28702    39337    23134     39403     25394  1158540  1683493  3465855  3717869
             256      16    62744    66113    35296    46192    45463    65931    29324     67404     33728  1254656  1855098  3465855  3770085
             256      32    99773   108296    53884    71914    72277   105654    50732    108845     56575  1354356  1718521  3326279  3545976
             256      64   142617   151470    58220   111745   112577   149176    72541    154388     77927  1455317  2061693  2726577  2754556
             256     128   188912   190049    77315   139360   137415   196771    70954    190927     71331  1292410  2205688  2152625  2061693
             256     256   249486   262284   252478   241463   244487   267779   121329    267512    128073  1405778  2392442  1534342  1369908
             512       4    21387    25369    16227    18233    18104    25137    16452     25335     16154   964378  1391032  3177664  3346002
             512       8    37228    40933    25751    28321    28504    40839    23271     40390     23697  1158418  1712772  3634839  3849877
             512      16    71839    67050    35290    45417    45474    67376    38149     66580     39291  1264113  1909204  3388236  4030519
             512      32    99164   108613    58420    72306    72450   108219    57561    107176     63761  1312798  2022482  3366987  3941742
             512      64   144633   156615    87835   115575   114643   155301    70592    157096     76439  1320061  1970519  2845081  2535981
             512     128   189208   201418    96404   150639   151031   192844    93110    198605    101063  1279935  2032051  2681653  2625909
             512     256   255597   258863   161868   230842   231564   263889   155380    265685    175150  1329871  2073249  1977778  2016784
             512     512   300481   327370   295967   313922   285577   332232   139430    331821    125702  1333173  1977778  2337255  2509312
            1024       4    21482    25289    16512    17640    16521    25750    15180     25109     15694  1022902  1438461  3103735  3414650
            1024       8    36895    41447    24427    26969    26334    40602    24425     39824     23614  1111877  1638171  3735385  3835457
