	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Mon Sep 26 08:05:42 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4     3819     3521    40379    42135    41400    11259    22766      3536     24557   886494  1279447  1991276  2772930
              64       8     3830     3843    36692    72163    68903     8638    22433      4004     20169  1066042  1460430  1638743  3057153
              64      16    12473    17112    41826    91559    87301    23686    34222     17988     36955  1138375  1734015  2358717  2772930
              64      32    42274    32522   108292   125214   116822    46751    39952     53199     42868  1204796  2006158  1484662  1828508
              64      64   192730   137391   193843   200503   179699   243411    73487    242531     62618  1119387  1734015  1452528  1392258
             128       4     1780     2442    32728    42022    41829    16467    30858      3662     31936   985435  1406136  2784517  3199360
             128       8     6810     3629    56407    72689    71708    14842    22639      3713     30549  1123617  1637771  3053774  3560017
             128      16    14765    15451    58369    89705    89451    37622    50711     19104     54422  1175271  1684006  2098744  1967960
             128      32    26091    18267    46664   128505   124281    25599    39239     18801     42410  1359835  1705404  2770150  3053774
             128      64    76283    82789   181817   205476   191616    95447    81581     93096     83770  1133103  1543594  1975201  2058509
             128     128   271173   180048   274641   288981   261275   319222   100635    328199     52692  1254941  1997245  1436229  1363288
             256       4     2381     3853    22926    34307    35199    11347    27708      2868     31742   914752  1445521  3043436  3326279
             256       8     6005     3547    72297    73630    72792    24715    48029      7714     49602  1112909  1743637  3368013  3770085
             256      16    11730     7476    55689    92485    91135    29609    60208      8117     51170  1230218  1826695  3454704  3879045
             256      32    32582    30142    87818   129682   127814    64840    94189     30887     85023  1413179  1790149  3378611  3667079
             256      64    65357    67442   178754   208622   202523    48373    75051     33595     82584  1407621  2049885  2509882  2747508
             256     128   141583   160097   233584   262284   256274   148845   155912    161810    162643  1298662  2210228  1829808  1970871
             256     256   355096   344611   282875   317599   305839   348866   194384    398153    254996  1312954  2034350  1280084  1369908
             512       4     2536     2388    23791    25062    27213    16921    35205      2530     30955  1038532  1524329  3259661  3459188
             512       8     5125     7526    47180    62021    61850    18039    51042      7417     50005  1179413  1679288  3580298  3877684
             512      16    10189    14291    61524    90972    83631    26066    80061     14863     62843  1174254  1897396  3795443  4123387
             512      32    16429    26018    91297   128971   127425    89951    69189     14743     82421  1286838  1961520  3604335  3822466
             512      64    50299    27314   115055   205465   206274    84404   115993     55602    150893  1305615  1924603  3220553  3346002
             512     128    89729    98023   228072   278106   275007   140231   198147    101225    144681  1406520  1904125  2474613  2587935
             512     256   195798   188312   250616   299100   289425   142256   164686    180919    233579  1248678  2116152  1940253  1734911
             512     512   380705   164308   341531   348968   357567   346882   317027    347331    294264  1358474  2032051  2416145  2521095
            1024       4     2809     2448    24422    25073    25903    14819    32920      2846     28628  1032244  1558516  3358576  3518141
            1024       8     4769     5156    47508    47570    49776    23260    46142      6056     44665  1130014  1780809  3671521  3778101
            1024      16     9177     9938    82486    87972    73637    52930    59423     10945     65118  1216082  1907343  3951918  4195100
            1024      32    16084    25506    98387   104404   107789    73929    95425     26399     81282  1289467  1834824  3506651  3791442
            1024      64    30163    49280   161508   181845   179963    84894   156648     53200    177347  1242826  1815435  3151562  3481072
            1024     128    58648    80112   235240   257680   258658   131926   125938     83590    258315  1284839  1809317  3074849  3020783
            1024     256   165612    97429   242601   259910   274231   220313   217910    162720    200149  1347311  1777861  2606476  2522288
            1024     512   194159   255245   326320   338618   333879   186318   282251    331278    299848  1207534  2039583  2516377  2708381
            1024    1024   338164   300814   340659   356050   330743   351044   266110    331381    359297  1361404  1984913  2528227  2694787
            2048       4     2646     2641    25166    25139    25495    15151    31753      2719     27295  1024464  1501525  3307884  3362265
            2048       8     5289     6128    46970    46987    46627    29403    45836      5713     45713  1172238  1813827  3723735  3864455
            2048      16    10042    10577    84568    87104    69864    45485    65260     10540     68071  1216738  1818820  3993821  4031308
            2048      32    19621    20808    99157   101986   101976    59457    95512     22120     93311  1240458  1873974  3960675  4096676
            2048      64    34227    38059   165105   171022   168048   100926   151223     41241    156098  1213986  1774851  3384788  3470953
            2048     128    67677    74521   246597   243839   242737   145208   169718     80345    265836  1205468  1749190  3002627  3051697
            2048     256   104639   110912   224833   254880   227603   182726   218825    180522    236651  1250936  1685687  2921939  2876923
            2048     512   144765   156622   296513   284173   309504   193224   249934    239983    328992  1327285  1734357  2774700  2812862
            2048    1024   236814   237344   267776   275417   351948   246625   304944    219552    360107  1209031  2140097  2809182  2774700
            2048    2048   320809   227308   288322   307829   374259   218108   250890    262835    271251  1130283  1738569  1995892  1889224
            4096       4     2583     2745    25640    25677    25861    15843    32064      2624     26606  1038761  1523199  3207709  3445064
            4096       8     5042     5328    48473    48885    47878    26989    49603      5199     45219  1153800  1672526  3494822  3919833
            4096      16     9879     9842    87502    89216    70419    43772    68489     11117     66789  1231902  1848330  3813675  4125010
            4096      32    19305    19505    96656   102413   102377    66167    93040     19595     99547  1251465  1838440  3841819  4171080
            4096      64    36140    36448   169678   171854   170503    95606   155612     45240    158037  1215430  1729086  3324403  3589754
            4096     128    65649    64398   231844   228672   230788   147391   193792     78224    208904  1235979  1732748  3357537  3589754
            4096     256   106914   101916   253353   245979   229877   194584   227732    158667    258913  1134673  1571692  2830848  2946902
            4096     512   153540   174892   290495   278695   275306   218232   304441    204637    284130  1220178  1582114  2714122  2809552
            4096    1024   196516   184464   269755   351493   304970   220405   260938    204595    249226  1363610  1705230  2556602  2864359
            4096    2048   193171   212414   335270   329098   332815   213155   370544    230618    315656  1314570  2412291  2461367  2605850
            4096    4096   289858   207697   337013   329496   395177   276849   272372    220049    296466  1280855  1816475  2340324  2359286
            8192       4     2566     2615    25899    25961    20942     5430    32512      2643     26558  1028740  1364412  2537121  2758310
            8192       8     5177     5557    49445    48827    47324    27704    48913      5267     44458  1174458  1576293  2867180  3079711
            8192      16    10094     9870    88696    89396    69143    46688    67579     10809     65671  1243260  1686300  3014063  3264953
            8192      32    18974    19773   103070   103476   102417    66538    98176     20561    100299  1253190  1702763  3056697  3327237
            8192      64    34395    35315   173053   169441   168928    99659   154752     38434    156452  1232777  1650259  2720743  2905979
            8192     128    62898    62304   238833   236448   234600   156123   210687     75416    221603  1245378  1655268  2882575  3012742
            8192     256   103888   100656   234512   238563   237897   236737   214242    160529    238903  1157719  1541638  2753668  2884511
            8192     512   142313   136989   273167   266251   260435   212967   259469    192129    306482  1133842  1497886  2563240  2596361
            8192    1024   176260   174740   259618   282482   276104   247655   244449    196172    304015  1204683  1564878  2463804  2481599
            8192    2048   182178   182052   241857   254932   307173   181054   304454    234364    317297  1359930  1737112  2428111  2402979
            8192    4096   191191   231548   302758   319801   309726   204928   350821    216811    280222  1290273  2381329  2304351  2294043
            8192    8192   201128   192301   318146   301541   311899   212421   344028    208846    325895  1252825  1703439  2358769  2357474
           16384       4     2584     2589    23618    14867    17626    12523    32906      2639     26422  1029199  1374972  2667183  2767954
           16384       8     5201     5291    49550    49717    48306    27695    48995      5286     43983  1164385  1571887  2976827  3148975
           16384      16     9948    10130    90610    90536    69970    46117    68726     10940     66315  1258672  1688198  3107115  3301312
           16384      32    19050    19143   103541   105049   105016    70312    97800     21145     98470  1221683  1649618  3172672  3355311
           16384      64    34717    35321   173407   174411   171921    92179   159275     38621    162953  1244809  1662830  2945692  3042595
           16384     128    61961    63773   236769   237174   236026   139450   209527     77088    207579  1235210  1676092  3033462  3145803
           16384     256    94962    98211   246390   237641   240958   186421   241612    128859    250841  1127828  1507541  2533081  2624803
           16384     512   139317   146208   271693   260841   261383   194669   268058    202451    274309  1101806  1459576  2467059  2446072
           16384    1024   167645   170101   266419   283593   278445   217072   283735    190917    274590  1133053  1483779  2483464  2509859
           16384    2048   167330   172526   286589   325479   338246   195929   315903    191684    277690  1195998  1561422  2584235  2618502
           16384    4096   184562   186655   309962   300431   309202   213406   319750    201020    322044  1353710  1717565  2123343  2124196
           16384    8192   238433   205333   311222   326076   308485   180798   344548    180452    326348  1266652  2323660  2343550  2348596
           16384   16384   205746   223528   308660   309904   301081   202194   334305    185396    268621  1254696  1706307  2364841  2385860
           32768      64    34733    35231   169710   173815   173078   102361   160540     38569    162267  1223737  1660917  2963527  3023373
           32768     128    61809    61489   232269   235769   234944   138632   209545     75966    209947  1223334  1659814  3008153  3057881
           32768     256    97150    96491   232385   236104   232750   186895   232537    142668    233841  1142498  1553863  2993607  3029037
           32768     512   131307   135730   258349   259659   274788   192619   255294    197424    257863  1102883  1475113  2654552  2638145
           32768    1024   163675   164606   252018   270847   278490   212024   278734    185580    275271  1087016  1418771  2417027  2429589
           32768    2048   170577   169349   312343   294075   311423   195675   327375    181615    307504  1088385  1413634  2399179  2395834
           32768    4096   184926   164677   304071   320357   333597   188573   313090    189031    312379  1134267  1447292  1992452  1993810
           32768    8192   192641   188303   309076   309371   323203   188000   279188    185262    325192  1352761  1743180  2306804  2327272
           32768   16384   192391   189076   325725   305937   321131   189765   321826    202047    313969  1187328  2122124  2138468  2132793
           65536      64    34492    35581   172596   173761   133315    57228   114006     38188    163091  1206765  1649236  2881960  2914905
