	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Mon Sep 26 10:04:58 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4     3537     4003    39875    40324    39505    13330    25437      4255     26100   877797  1232453  2006158  2923952
              64       8     3913     3994    32206    70403    68815     9274    25146      4076     19875  1045286  1484662  2379626  3057153
              64      16    18730    19185    45778    86042    86849    25529    35127     19844     40896  1143223  1734015  1279447  2772930
              64      32    49730    40977   109618   124981   116568    47128    38508     42779     38141  1330167  2203800  2067979  2467108
              64      64   235303   131469   192730   202622   180302   242312    56479    242531     63870  1143223  1734015  1392258  1392258
             128       4     1741     2798    30872    42327    41654    15961    29303      3819     32536   942199  1391557  2673584  3036502
             128       8     4175     3715    66013    68664    71110    15207    23547      5526     43538  1076312  1579934  2905056  3277486
             128      16    15680    15445    57760    91634    89377    35242    46024     16435     53693  1162547  1749872  2985839  3380677
             128      32    16274    16614    44867   128382   123794    23494    38870     21408     59753  1391557  2004703  2608629  2905056
             128      64    75649    75511   184440   204771   187926    79058    76643     82155     92280  1254941  2098744  1967960  2027414
             128     128   267258   203221   247999   239695   225404   320748    52676    329205     55675  1254941  2098744  1162547  1332828
             256       4     3362     2738    20661    34759    35555    10479    30754      3487     30483   977189  1325925  3009318  3285566
             256       8     3585     4505    71727    73479    72477    31211    50543      7466     47976  1158540  1718521  3454704  3756894
             256      16     6921     9814    70660    93095    91555    44896    57438     16699     70331  1178892  1652404  3421677  3717869
             256      32    15114    16181    89101   128965   126608    67937    95734     33096     85935  1248819  2000242  3326279  3557725
             256      64    60650    32474    81474   205626   201422    49390    70544     40512    119400  1248819  1907837  2247235  2305128
             256     128   146290   160001   252004   263120   271777   140951   170440     93737     90712  1243036  2097948  2114473  1981783
             256     256   382685   339061   360581   354042   316103   346390   219722    362162    233584  1306564  2205688  1471270  1339154
             512       4     2622     2539    23942    25051    27309    15086    37925      2880     31556   980673  1520013  3220553  3366987
             512       8     7288     4443    47632    62399    61791    23539    51805      7720     48247  1073846  1725155  3610395  3220553
             512      16    14282     8177    61039    93634    87357    33207    81360     15912     62516  1198502  1815584  3431550  4030519
             512      32    27911    25955    75749   128224   128003    52523    62295     22080     99550  1323315  1882427  3220553  3795443
             512      64    27681    48003   154441   208376   205543   113002   121355     56711    107520  1387437  1875849  3220553  3284589
             512     128   105352   117949   235940   279918   285539    84670   128577     63991    246502  1458090  1867692  2651850  2609952
             512     256   193418   131113   292063   304745   282868   207630   244621    253575    229608  1255246  2124526  2065273  1874212
             512     512   332232   401188   373943   345209   357806   351654   296990    338196    214409  1292259  1940253  2560168  2497638
            1024       4     2638     2851    24186    24731    25523    14312    32561      2585     27743  1021928  1488307  3335105  3335105
            1024       8     5025     7463    46562    46439    48135    21477    48889      5033     48835  1130312  1709231  3582705  3849207
            1024      16    11694    10219    82407    87326    75167    33084    65376     11459     62407  1239598  1750329  3891053  4079544
            1024      32    19968    16771    97542   105720   108761    94395    94946     18560     89432  1291406  1885572  3738636  4146499
            1024      64    46695    30969   161618   181277   180031   135625   152857     33396    142002  1302766  1809317  3447541  3529706
            1024     128    74484    71946   203092   267286   266953   116787   215905    113348    178304  1312720  1799462  2760606  2958362
            1024     256    95550   144651   244911   276153   271905   175671   177310    193905    268909  1381548  1813136  2625597  2593883
            1024     512   261827   198677   320907   354697   337633   254851   285004    314032    270178  1233545  2043465  2694787  2701567
            1024    1024   348311   315370   288935   342015   360442   354668   305131    354697    273864  1233900  1935711  2403712  2370545
            2048       4     2538     2556    25277    25593    25610    16168    31091      2559     27760  1010841  1496033  3379461  3502085
            2048       8     5164     5029    48473    48479    47608    28117    47738      5106     45785  1140336  1695335  3683812  3885431
            2048      16     9651    10057    81969    88993    73284    41165    65721     12143     68449  1206823  1794877  3915540  4071433
            2048      32    19882    18134    93940   102528   102410    59630    98234     19251     96868  1206145  1838675  3663388  4014352
            2048      64    36586    37065   172912   172916   171511   112453   131072     42700    141877  1268110  1791882  3598924  3650932
            2048     128    64333    62386   233467   233849   237423   134489   192716     76735    256348  1277730  1776319  3330973  3436240
            2048     256   126076   119020   226672   237010   260729   196940   262297    146746    273540  1261036  1687011  2951050  3065856
            2048     512   140533   180837   305769   284088   291324   184670   239729    227200    264396  1321364  1693997  2720222  2730599
            2048    1024   289722   203824   354270   284286   344661   208535   342190    275974    292445  1208861  2107025  2864451  2892423
            2048    2048   301265   176733   290860   289020   396364   203515   325588    296677    304318  1320552  1994039  2670330  2727131
            4096       4     2624     2587    25714    25733    25827    15150    31852      2610     26655  1015130  1483990  3117487  3374022
            4096       8     5290     5308    48314    48452    46248    28059    48064      5702     43863  1123468  1673830  3580030  3886139
            4096      16    10235    10479    87316    88871    71518    42935    68358     10870     67094  1204015  1805213  3726809  4083827
            4096      32    18319    19733   101180   103012   102906    63788    95647     21374     96190  1243493  1860943  3757786  4067390
            4096      64    35016    36478   170163   172331   171654    91168   152790     39301    160075  1226012  1762615  3425146  3689988
            4096     128    61358    64127   233670   229518   228827   162437   177661     86917    204095  1236334  1751117  3436107  3621537
            4096     256    96807   107715   239364   240164   241365   210460   228544    140409    286456  1185570  1608781  3177452  3268741
            4096     512   168968   151861   266231   256301   263778   200372   298521    197501    284130  1192482  1571261  2702169  2884558
            4096    1024   164352   180982   250487   301307   283932   209128   277377    307272    321426  1316686  1685489  2457143  2701744
            4096    2048   202681   203437   276480   334344   316709   179185   365452    227669    271799  1287961  2416362  2526523  2602298
            4096    4096   213065   199212   327392   289858   333364   237091   315395    224304    303409  1277617  1793342  2344796  2291014
            8192       4     2608     2681    25841    25836    21590     5390    32269      2623     26722  1015754  1332454  2477126  2708304
            8192       8     5209     5348    49216    48878    47476    27486    48654      5233     44420  1167951  1560685  2831502  3063783
            8192      16    10280    10171    89562    89950    71611    46853    68813     11199     66362  1225216  1677983  3007204  3282106
            8192      32    18904    19117   102999   103356   103151    69746    98614     20852     98351  1290467  1717831  3044239  3354524
            8192      64    34887    37084   173983   174097   173082   102645   151361     39060    158330  1246100  1670478  2857404  3020687
            8192     128    59104    64398   231955   233789   230409   144484   211313     76323    219570  1256628  1664651  2906963  3069257
            8192     256   103107    94378   233630   241779   228449   235017   206492    140830    250719  1175503  1560047  2856217  2992016
            8192     512   135550   128518   256062   268572   283981   231838   247911    211040    289428  1120348  1464184  2234517  2318032
            8192    1024   164912   169144   277544   303207   273258   213689   240192    199795    284385  1226922  1587949  2538620  2552766
            8192    2048   176933   176297   306907   285643   309986   198430   324642    187284    296703  1393180  1773149  2543130  2512814
            8192    4096   223093   208093   306174   319263   312862   201872   234505    173514    301851  1263002  2314752  2307601  2276714
            8192    8192   204395   195569   301240   294158   307853   211117   339930    194621    323450  1214906  1643392  2254900  2261728
           16384       4     2590     2643    23540    17073    17187    12953    32972      2635     26523  1004042  1358419  2656769  2821945
           16384       8     5201     5274    49561    49795    48272    27599    48740      5294     44380  1131039  1546523  2978891  3117122
           16384      16     9866    10195    91393    91212    72547    45895    68580     11100     66070  1223881  1650648  3187536  3353346
           16384      32    18555    18878   104388   105183   105134    71052    97334     20903     99120  1253163  1723553  3245648  3404852
           16384      64    34755    35541   174361   171878   172115    92389   157641     38206    160606  1229091  1637394  2729692  2844489
           16384     128    60763    62419   236246   238493   235249   144172   206119     83046    208758  1237189  1667915  2979408  3073898
           16384     256    99142    96918   236996   241616   237393   187468   237273    144934    231269  1126977  1492837  2478270  2562839
           16384     512   128145   131887   265666   270658   248857   212035   249607    187676    282922  1100342  1455711  2430843  2436618
           16384    1024   165524   164913   295729   265126   277972   202865   292200    194169    274820  1145423  1512685  2585790  2611834
           16384    2048   186463   169395   296542   304172   334557   207807   287317    189508    316550  1204172  1557282  2550852  2545655
           16384    4096   178062   206506   295520   315689   310473   215726   303143    199687    318265  1230213  1555943  1829991  1808987
           16384    8192   218168   214562   324318   315757   315612   196340   338379    195361    293919  1147259  1990091  1887752  1910901
           16384   16384   210318   212156   307988   310173   308318   187200   309997    179416    288506  1217333  1647324  2238287  2270156
           32768      64    34639    35191   173856   173213   173173   102868   158909     38416    160973  1229374  1661419  2970252  3058153
           32768     128    61331    61196   235881   234095   234078   141709   209748     75487    209685  1182883  1616095  2704969  2718881
           32768     256    95580   100151   234341   239219   233599   188181   233408    142605    232196  1138684  1539487  2991978  3029571
           32768     512   128615   129674   273646   254744   273986   184835   252432    184292    263866  1080275  1446332  2392331  2470066
           32768    1024   162750   169776   274206   284410   265551   208942   274646    186351    253189  1117028  1473784  2579956  2560395
           32768    2048   167337   164377   309257   294970   324175   197542   324329    186127    314556  1085574  1411123  2393205  2429073
           32768    4096   186668   167101   309894   323494   313779   202856   303846    194248    324631  1191435  1538126  2249748  2246402
           32768    8192   204553   190326   293965   333187   319591   200951   312472    196009    320234  1356178  1731562  2314106  2334744
           32768   16384   206764   191012   322595   297283   317448   192388   326062    202319    308860  1264727  2337404  2333396  2360487
           65536      64    34518    35137   175556   173521   134902    59770   113496     38344    162845  1205040  1625036  2843560  2912187
           65536     128    61228    62136   239455   238152   237509   151803   215305     78256    217682  1201815  1643988  2988296  3059134
           65536     256    95642    98105   238519   233909   223644   123834   176888     98601    182412  1120812  1514371  2945326  3005121
           65536     512   133393   130242   262931   263065   260656   198325   258936    191317    261942  1089433  1452291  2495559  2500144
           65536    1024   163471   153944   281387   280327   271175   211215   283624    186079    274871  1085753  1429327  2582084  2597750
           65536    2048   165411   166414   303461   303872   310495   187492   303909    186743    295429  1062326  1385041  2481478  2498417
           65536    4096   175424   172091   317778   318023   317284   187358   310363    194794    319673  1099728  1411013  2232913  2234964
           65536    8192   193797   191688   309930   324440   316121   201396   303687    200624    317004  1177354  1523065  2256986  2276274
           65536   16384   188880   189159   327745   310557   309257   193290   308527    199080    311003  1287316  1647496  2232296  2223305
          131072      64    34809    35368   139772    99684   118334    97112   163570     38170    163099  1207135  1645616  2859650  2963742
          131072     128    61386    62148   228359   153415   158520   111547   215697     77482    215607  1200941  1639570  2995098  3034009
          131072     256    96765    97625   229824   185205   181095   136604   231520    144553    233383  1120629  1507180  3009280  3050101
          131072     512   131108   136082   263298   257187   219552   148308   209960    188827    257842  1089225  1442350  2597539  2622020
          131072    1024   158214   162595   269371   271331   248147   176612   243533    166279    242335  1084145  1414931  2628853  2641459
          131072    2048   163228   166623   309739   301911   290139   169688   275680    169467    277679  1065678  1374166  2548601  2579998
          131072    4096   170714   178472   310311   314162   294342   179397   292873    190158    295339  1050004  1367712  2145624  2191914
          131072    8192   186799   188837   298662   308952   298856   192170   302021    195279    287381  1107008  1436103  2217832  2228322
          131072   16384   184025   186674   297351   305391   304103   184724   309879    199188    313764  1138260  1452513  2166689  2184129
          262144      64    35042    35541   117806   120617   174544   100866   163258     38557    163448  1211385  1649606  2962008  3018216
          262144     128    61652    61841   184977   158349   237068   143932   216690     77551    216881  1189476  1614016  2908346  2961441
          262144     256    95883    96786   207510   183617   226345   183088   233929    143756    235849  1124859  1507345  2972891  3007862
          262144     512   131545   131783   236491   220191   232708   203503   257785    189763    258761  1077708  1435619  2580208  2599811
          262144    1024   162663   162300   264217   248095   246937   192676   272568    187837    272423  1061418  1394985  2521151  2563933
          262144    2048   164355   164334   293135   282268   277614   168079   281354    167198    272865  1053383  1374697  2535167  2588408
          262144    4096   176319   175773   304792   297421   297546   178201   292503    190192    289388  1052977  1371677  2210376  2254438
          262144    8192   189479   191344   303270   300268   298924   193279   295270    194298    298126  1073064  1378537  2216767  2241697
          262144   16384   188529   193890   311454   302235   304304   191910   303149    196774    299744  1115462  1436412  2209275  2235466
          524288      64    35071    35657   119994   175671   174453   102246   163368     38475    127021  1205467  1649290  2905433  2979315
          524288     128    61833    62178   169856   239300   237766   141806   216775     78041    164080  1192750  1635659  2996308  3041484
          524288     256    95295    97221   194585   232345   238032   182594   234377    143616    193249  1117399  1488883  2929278  2964742
          524288     512   131354   134385   228009   248779   260831   200933   257946    189914    226965  1079577  1413240  2570102  2587211
          524288    1024   163083   166037   254880   255875   274068   207192   270070    185360    253120  1072888  1404784  2607619  2627968
          524288    2048   165868   167892   286222   282677   290915   187221   303979    178260    286607  1043716  1357266  2532605  2580641
          524288    4096   173463   175508   302664   297025   295878   181175   308192    194531    302123  1044240  1353189  2205976  2234035
          524288    8192   189367   190179   305587   300570   302342   187096   295450    195950    305356  1055623  1364938  2218674  2226539
          524288   16384   190969   192678   309591   304829   305648   192241   303841    193475    301969  1053602  1366297  2203373  2219715

iozone test complete.
