	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Mon Sep 26 10:18:07 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4     3601     3751    23738    42247    41102    13405    19363      1784     18181   866463  1255511  1484662  2772930
              64       8     3833     3842    31112    71586    68886    13269    38414      7881     31934  1083249  1452528  2467108  3203069
              64      16    17616    17615    42951    91310    86821    24729    34628     20786     39194  1101022  1690338  2358717  2801873
              64      32    51733    46922   107900   124748   116568    47062    41911     56384     43749  1304314  2133730  2133730  2379626
              64      64   236965    30798   191629   201255   173429   242531   128265    238015     28612  1183548  1722886  1421755  1484662
             128       4     2642     3889    32113    41355    41709    15655    29738      3587     31471   983630  1406136  2770150  3124872
             128       8     3562     3788    70328    72936    71346    24535    39059      7359     42868  1032829  1642783  3124872  3536566
             128      16    17393    17055    60296    95958    94323    38800    73435      9733     36302  1220700  1802755  3053774  3380677
             128      32    17681    21408    78480   127741   123197    53378    56812     38602     70171  1363288  2132084  2784517  3053774
             128      64    74723    76100   185780   204070   193341    74371    67865     86903     79503  1209698  2098744  1911894  1885042
             128     128   270082   210884   274641   277050   260768   324039    54862    323259     52419  1206978  1504659  1455701  1048974
             256       4     3556     2193    21186    34693    35535    14834    34119      3680     30274  1032636  1447470  3123106  3368013
             256       8     3638     7063    72054    73099    72462    31565    50354      8284     50137  1152323  1696795  3465855  3717869
             256      16     8966    15634    70856    92152    91104    45985    59899     15313     68431  1208072  1829808  3511189  3810220
             256      32    15215    27344    83769   129167   128256    60650    94571     33565     85442  1361224  2015259  3245838  3557725
             256      64    33621    34594    83495   199069   200969    94123    99449     71109    126177  1391207  1981783  2699161  2754556
             256     128   124149   100860   155236   271434   260945    81866    89952     87226     88953  1213534  2170027  1970871  2030503
