	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Mon Sep 26 10:44:34 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4     3995     2306    17306    41021    41859     7864    12771      1889     17385   763021  1304314  1991276  2923952
              64       8     5436     8422    66878    70700    68815    19471    30563      8740     34096  1013707  1452528  2379626  2923952
              64      16    17792    17227    43241    91435    86821    24747    35400     19120     36762  1143223  1722886  2444640  2892445
              64      32    39000    40331   108117   128758   116619    48482    38904     23810     21886  1255511  2133730  1562436  2379626
              64      64   196252   131986   193285   201255   180788   242312    29495    241440     29698  1163036  1722886  1392258  1421755
             128       4     3288     3618    32810    42353    41709    16864    30153      2972     24142   940549  1391557  2727923  3036502
             128       8     3739     6098    70245    70328    71233    26806    41910      8168     42667  1111981  1598754  3053774  3359523
             128      16    14214    15403    56265    91681    88580    34307    32233      7863     34215  1209698  1778862  2969325  3359523
             128      32    16599    32611    70754   126239   124166    46901    53806     34024     64097  1406136  2090572  2843510  1852520
             128      64    85505    86594   181817   205398   194814    99442    78388     93290     87426  1206978  1579934  2027414  2098744
             128     128   278777   216584   274641   293724   260136   323064    56065    328199     50773  1332828  2058509  1406136  1254941
             256       4     3597     2104    20994    34735    35398    13413    33961      3671     30988  1079348  1514860  3123106  3368013
             256       8     3647     7859    71986    72156    72580    30728    47479      7134     51842  1147398  1778290  3465855  3770085
             256      16     7454    13768    68135    92350    91104    46518    76713     17310     71588  1158540  1805197  3465855  3756894
             256      32    15065    23642    87347   125439   125118    68101    94604     32691     85300  1347557  2061693  3316006  3654598
             256      64    38851    26340   151128   207936   202218    46460    85996     62045    121329  1304976  1967260  2533571  2588541
             256     128   143513   158233   255239   295649   279125    84289    93843     88946    102565  1280084  2187712  2081678  2015259
             256     256   284449   389629   344500   341759   315638   346390   231469    356629    189914  1405778  2152625  1455317  1334162
             512       4     2733     2612    23886    25045    27288    13368    33053      3073     31227  1075998  1500891  2894940  3346002
             512       8     7621     4347    48668    62195    61700    26704    52920      8310     42244  1127995  1711407  3659616  3913012
             512      16    10961    14674    76442    92889    86985    48174    77423     17598     54340  1212715  1791352  3504346  4099771
             512      32    27728    22467    77765   129165   127335    54173    62430     26645     97858  1267097  1815584  3196584  3762197
             512      64    28229    55604   159559   209065   205622   112848   125702     50156    107903  1261144  1823291  3086326  2739816
             512     128   107267   116364   242193   292063   282868    90299   146278     82000    229094  1368865  1795846  2205248  2285029
