	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Mon Sep 26 09:25:04 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4     2830     3957    40379    38647    41178    13844    25078      4013     24971   710511  1204796  1991276  2772930
              64       8     7928     8112    66464    70793    69116    18002    39728      8205     32291  1017549  1421755  2467108  2892445
              64      16     9001     8926    25286    90510    87075    13100    22720      9477     21985  1124074  1679761  2358717  2801873
              64      32    37424    37560   109574   125978   116975    46857    39899     42128     40977  1163036  1991276  2006158  2298136
              64      64   236965   131727   179699   186051   165414   242531    56634    243190     71112  1163036  1780008  1452528   913649
             128       4     3363     1841    25261    42313    41692    10502    30468      3810     32744   942199  1487977  2843510  2035099
             128       8     7045     7225    70171    70763    70875    19190    22452      3568     30910  1133103  1684006  2985839  3445772
             128      16     9167    14132    57580    91822    89511    32947    45633     15926     54700  1217930  1858934  3053774  3468030
             128      32    36363    36962    81892   126745   123680    34641    39360     18150     41384  1332828  2035099  2660335  2969325
             128      64    48670    47440   180776   204148   193620    81792    74247     83875     90522  1217930  2098744  1975201  1827299
             128     128   271173   204771   290387   279502   260136   309292    93502    327399     92360  1319723  2027414  1391557  1363288
             256       4     1979     3654    22814    34754    35779    15065    26952      2260     30389  1058076  1598292  3123106  3285566
             256       8     6965     4039    72214    73439    72605    16442    43294      6910     51045  1143731  1802167  3557725  3009318
             256      16    15242     7246    54156    92789    91695    29578    47565     16667     70618  1158540  1907837  3368013  3717869
             256      32    28150    17248    63682   129167   126355    33135    72605     17933     81450  1347557  1985448  3368013  3705040
             256      64    61512    67616   148065   206934   200631    93127    67813     33684     84018  1430119  2015259  2672291  2719671
             256     128   126982   143341   265003   232069   269729   134019   139650    134743    156686  1266495  2170027  1967260  2000242
             256     256   385571   378103   342741   345943   329894   380381   223612    394351    249023  1455317  2325094  1487577  1422540
             512       4     2533     2416    23881    25052    27133    17858    37382      2545     30928  1066380  1500891  3008498  3437042
             512       8     4720     7506    47053    61649    61069    18460    45241      7238     48284  1113374  1801873  3653390  3849877
             512      16     9791    14436    77084    92889    86925    25759    79578     14188     62059  1236455  1910902  3415178  3934520
             512      32    15896    25411    92804   128971   126383    86957    69746     14892     82822  1190529  1882427  3182373  3762197
             512      64    49607    27182   113757   209065   205878    90140   127395     55766    154920  1350783  1882427  2750343  3177664
             512     128    81657   119651   218911   275572   274375   143377   162223     74387    140314  1347393  1990612  2584820  2275345
             512     256   199918   183642   289621   317825   287642   132989   156194    165537    225746  1276891  2124526  1985091  1829505
             512     512   353099   369949   374791   351423   345710   380367   312415    350677    266807  1336492  1931527  2625909  2327124
            1024       4     2828     2452    24399    25012    25803    14736    32582      2785     28767  1047091  1673273  3101494  3447541
            1024       8     4870     5158    47471    47497    49082    22903    45947      6072     45880  1193774  1747480  3738636  3655895
            1024      16     9251     9971    82554    87821    75293    48704    68089     11772     66622  1251882  1889720  3751699  3794792
            1024      32    16704    25490    85983   104661   107700    76314    97551     23511     82614  1244266  1841906  3447541  3937426
            1024      64    32222    46781   134172   179025   173978    88283   156837     58066    141926  1245710  1872419  3198502  3403826
            1024     128    55369    77293   239409   254851   266589    88958   130877    102728    246797  1326505  1806273  3057339  3029305
            1024     256   175671   106776   240886   286277   271047   227393   214997    156432    270603  1378002  1765437  2535690  2606476
            1024     512   248123   231512   354200   354317   339985   261699   304137    292158    257217  1196101  2027069  2586074  2679655
            1024    1024   361474   298805   397211   365721   361079   407151   238810    359176    333776  1311117  2056183  2653170  2619192
            2048       4     2726     2772    24693    25329    25550    15421    31893      2622     27432  1047577  1585208  3235617  3447273
            2048       8     4965     5587    47005    46955    46142    24814    47784      5889     44433  1151959  1809243  3606479  3821475
            2048      16     9369    11166    80519    87022    69861    41735    62959     11037     68239  1217600  1915768  3862718  3984558
            2048      32    19527    20639    99427   102099   102109    62136    97112     21082     89730  1216910  1838675  3835124  3999400
            2048      64    34942    36606   161870   170907   170044    92795   148924     41055    147903  1244231  1785550  3530875  3644736
            2048     128    60058    64353   231019   234110   232042   175746   164209     92829    228901  1251118  1767183  3297725  3336148
            2048     256   109250   102369   236300   262867   258945   162050   271645    159825    276161  1254223  1677130  2947000  3012103
            2048     512   177486   205915   245856   282008   290910   186945   289303    267784    323491  1332432  1715309  2873074  2888532
            2048    1024   236079   247129   289098   323894   326578   267259   238524    285751    242285  1224194  2144371  2612664  2723672
            2048    2048   328263   266628   316740   287396   367078   250919   333877    332468    304804  1118509  1794877  2054120  2011785
            4096       4     2659     2707    25817    25681    25802    15535    32104      2687     26439  1051862  1585179  3091124  3473623
            4096       8     5389     5346    47774    47742    46549    26823    49408      5395     45187  1149631  1772435  3571100  3935097
            4096      16    10010    10377    88472    88363    70210    45352    66638     11299     65964  1207909  1822062  3693955  4083827
            4096      32    19927    18277   101624   103387   103306    68980    91762     22375     86348  1233760  1813981  3689988  4059701
            4096      64    35274    36403   168082   173574   172667    98827   146484     39138    152012  1224526  1756488  3332786  3559262
            4096     128    61586    63472   235131   241766   236765   146046   188409     76155    211374  1237849  1746843  3360164  3565171
            4096     256   104778   100591   241480   251536   249588   189402   241552    147917    274492  1184099  1618329  3105091  3230023
            4096     512   154530   153956   276457   263273   288854   242322   268978    204218    300737  1194140  1533532  2678994  2827121
            4096    1024   213981   252683   270972   249911   284879   224597   325852    211374    298454  1342932  1728912  2539220  2809552
            4096    2048   218922   207099   278239   363573   314518   261073   341128    189139    365748  1299162  2393804  2449785  2488463
            4096    4096   244244   234820   306587   317840   393954   214058   360151    216194    315517  1289701  1779411  2296219  2299908
            8192       4     2567     2600    25799    25837    21432     5424    31539      2619     26819  1046761  1410509  2528532  2747283
            8192       8     5280     5126    49640    48881    47438    27475    48769      5260     44479  1183846  1631221  2879434  3106440
            8192      16     9777    10260    88944    88005    68973    45000    67966     11046     65244  1235792  1676264  2935022  3215155
            8192      32    18590    19008   103408   104225   103164    73345    96275     21210     98355  1264582  1687708  2989933  3264953
            8192      64    34938    35340   168483   173555   172768   104861   158522     38468    161088  1238420  1648913  2791249  2964907
            8192     128    61743    65697   230014   230656   229043   144288   217606     83116    217796  1241956  1671128  2892524  3007204
            8192     256    99557    97698   246421   238272   243795   217582   228302    145568    240459  1159986  1542468  2824752  2919312
            8192     512   135338   134235   261934   274937   262783   205555   277610    206623    289060  1137295  1504774  2557516  2569758
            8192    1024   176479   158870   276457   257714   273412   202516   283538    201569    290186  1217402  1569095  2569566  2606405
            8192    2048   175342   173868   320162   318843   304241   196291   307346    208999    280133  1377264  1762869  2331243  2306362
            8192    4096   193431   197692   309938   315632   317555   178743   339071    208155    315879  1297631  2383476  1958846  1926231
            8192    8192   219554   173939   325478   332602   315103   180822   324449    183302    345640  1236370  1690116  2298493  2333935
           16384       4     2571     2624    25039    16395    17346    12743    32859      2626     26512  1048163  1439458  2679246  2821482
           16384       8     5183     5408    49879    49955    48392    27712    49096      5250     44274  1167610  1606127  3023453  3157947
           16384      16     9922    10192    91192    91210    72276    48560    70099     11008     65739  1245554  1711832  3082032  3201197
           16384      32    18843    19510   103844   104010   103959    71520    98882     20228    100009  1229662  1678877  3111336  3293243
           16384      64    34908    35187   173822   174472   171945   101104   163010     38528    163229  1242895  1680930  2954811  3107677
           16384     128    61786    62794   231697   234593   231089   138412   214725     76118    216427  1228937  1664199  3007837  3104729
           16384     256    99921   100139   236711   243451   229921   194706   224878    145415    230835  1125279  1505065  2549716  2603128
           16384     512   128379   139098   267248   268885   256284   207763   268347    191187    263303  1130165  1487440  2618502  2598600
           16384    1024   165044   168747   287075   294926   290940   214433   278298    192341    264248  1153150  1518165  2609751  2637092
           16384    2048   185882   169305   283547   300507   346588   201460   294263    187250    315994  1184414  1538422  2543770  2546787
           16384    4096   182853   200014   324724   318112   322493   204032   323808    186139    310039  1364868  1739830  2350283  2361834
           16384    8192   169822   201418   308300   321664   315113   190080   338254    203553    334990  1292210  2370388  2214984  2218560
           16384   16384   205766   193241   299364   321236   334716   191062   320901    228360    313948  1258741  1711662  2378264  2363133
           32768      64    34402    35058   171718   173299   172542    96023   160405     38204    161645  1219546  1661399  2865113  2972951
           32768     128    62563    61062   234751   235294   233164   142078   208665     77753    207954  1188457  1623867  2677148  2744891
           32768     256    94522    97509   232383   235218   234281   182272   234109    143803    230928  1138212  1522400  2915560  2990091
           32768     512   133300   136740   259107   267425   264901   169426   250303    185689    258753  1079062  1448879  2408513  2447937
           32768    1024   164420   174271   270362   272514   270655   218063   278551    203562    265027  1096915  1454860  2541738  2554209
