	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Mon Sep 26 08:32:13 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4     2444     3604    40174    42354    41153    11051    23324      3569     24288   735831  1083249  2133730  1734015
              64       8     8512     8426    66529    66447    68238    19230    44942      8655     35635  1002351  1452528  2467108  2892445
              64      16     8964     9049    25396    92093    87786    13184    22751      9333     23565  1101022  1638743  1599680  2133730
              64      32    23179    23237   107770   125448   117026    44599    41503     52979     42408  1232453  2067979  1828508  2278628
              64      64   235303   234481   202469   198722   178266   241658   142875    241658     56491  1119387  1690338  1392258  1255511
             128       4     3420     2024    24219    42217    41705     9214    20641      2668     32854   978253  1440082  2558895  2985839
             128       8     7594     8053    70291    73055    71470    26533    42161      5838     32469  1085013  1684006  2985839  3359523
             128      16     7753     9056    60344    96389    94472    38141    69562     17623     53309  1220700  1827299  2985839  3468030
             128      32    30345    32929    75479   127468   124252    43199    51717     34417     60121  1359835  2066432  2784517  2969325
             128      64    46143    31029   183432   204459   193620    44491    44991     46750     81015  1231904  2066432  1967960  1939522
             128     128   271173   135306   262296   283787   259131   324823   121800    331646    120758  1165070  1967960  1363288  1332828
