	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Mon Sep 26 09:38:19 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4     3942     2757    16994    41800    41077     7261    12541      1863     17519   889431  1279447  1991276  2801873
              64       8     4575     8458    64577    70887    68815    19214    29990      8487     34389  1033216  1460430  2379626  2892445
              64      16    17094    16422    38624    94826    89633    24786    35673     18523     38464  1105556  1690338  2278628  2662899
              64      32    44195    37575   109798   126691   118734    46988    24390     26491     22857  1232453  2006158  2006158  2298136
              64      64   236131   131405   191629   200055   180788   242531    27027    242531     30202  1124074  1780008  1421755  1421755
             128       4     3305     3579    32504    42343    41709    17694    30374      2550     25402  1032829  1504659  2843510  3199360
             128       8     3724     7813    70411    72601    71148    25226    41077      7970     42595  1133103  1281909  2920861  3445772
             128      16    14223    15162    38450    91494    89065    17057    33719      7898     36087  1142750  1778862  2905056  3199360
             128      32    29656    31683    67831   128505   123765    43773    54121     33255     61274  1206978  2035099  2558895  2905056
             128      64    88391    88158   184187   204148   193341    78572    78377     84098     44769  1196221  2066432  1975201  1911894
             128     128   274080   208509   272965   278922   258632   317523   104230    326602    120758  1032829  2035099  1421023  1332828
             256       4     3454     1879    23355    34839    35639    16771    33943      3706     25882  1053922  1598292  3052087  2533571
             256       8     5607     7677    71588    21442    68522    29544    58810      4724     39560  1147398  1802167  3465855  3705040
             256      16    13428    14316    71114    91860    91004    49034    76812     10902     54794  1131677  1686137  3421677  3705040
             256      32    28890    30776    86544   130011   126162    70734    94888     30646     81142  1382252  1790149  3245838  3465855
             256      64    31746    57245   131347   198297   190049    84295   104147     63039    114791  1471270  1619994  2607399  2754556
             256     128   136316    65709   251002   284449   273787    78023    94746     98645    177161  1292410  2152625  1826695  2030503
             256     256   344059   391475   314529   330300   315268   346837   113325    404452    103147  1413179  2247235  1471270  1375171
             512       4     2868     3012    23516    24694    26906    11771    37995      2753     29550  1053304  1625889  3140488  3264616
             512       8     5430     4393    48260    62416    61941    30220    52734      4377     41827  1185272  1867692  3556580  3795443
             512      16    10136     9175    75963    93450    87581    46314    80023      9842     54502  1242177  1938502  3481620  3762197
             512      32    24758    13763    76033   129165   127904    74031    80781     29571    103185  1222379  1938502  3710197  3884698
             512      64    52411    51246   145161   203094   204701   116075    91262     28601    111114  1273861  1854787  2486072  2651850
             512     128   111645    62195   240162   295967   287642   111837   163321    143138    201418  1354190  1910902  2600470  2427068
             512     256   146069   160298   287142   293580   279481   225556   221075    266113    157338  1276891  2039772  1848401  1968713
             512     512   322260   342457   384660   377559   337983   342457   234114    386738    269892  1242896  1938502  2187279  1910902
            1024       4     2476     2861    23754    25082    25914    17435    33205      2644     29961  1067920  1610528  3249318  3241960
            1024       8     4963     5876    47102    47084    48473    25270    48547      4863     47011  1174513  1812371  3751699  3722435
            1024      16     9253    11362    74991    87119    73117    47884    66333     10073     64557  1241031  1872419  3835457  3970183
            1024      32    24319    17178    97154   105457   108971    78752    89486     21681     89168  1239598  1969440  3509517  3966517
            1024      64    41298    37154   164792   180280   180979   113285   134348     35277    172393  1242826  1777861  3390391  3461434
            1024     128    87045    53062   227658   249928   247465   126808   212803     77570    193975  1309518  1786736  3142339  3140041
            1024     256   133140   132520   249087   311143   281788   169254   227562    235562    208931  1367473  1756054  2455943  2448941
            1024     512   175945   267419   307512   342725   340308   179361   257618    282641    312866  1229309  1992279  2491561  2625597
            1024    1024   261222   127697   341471   398279   385551   290754   284910    228166    296986  1311117  1942715  2553783  2541692
            2048       4     2575     2646    25046    25339    25644    15352    31898      2694     27410  1091089  1630647  3319389  3351769
            2048       8     5581     5068    47336    47164    46348    28799    47739      5017     46991  1156456  1776319  3604966  3841986
            2048      16    10987     9498    84768    87712    72076    43810    65979     10571     67726  1242791  1850160  3638560  3871422
            2048      32    17911    19678   100112   102088   102246    60696    98201     23093     95268  1253308  1887563  3744839  3908414
            2048      64    36284    34917   150376   174136   173370   108176   143158     41012    155682  1227869  1747411  3372826  3459769
            2048     128    72305    69775   234487   228238   236651   144468   193847     75815    265877  1249480  1745990  3121562  3215029
            2048     256   108441   104319   230238   264836   252587   214835   203337    191007    232356  1267362  1696674  2998435  3024831
            2048     512   169480   153559   274862   331762   293996   229469   267043    229292    302560  1314489  1702391  2790021  2821176
            2048    1024   210353   200157   299678   340481   381016   238696   339458    186232    312238  1237599  2179187  2848305  2937929
            2048    2048   222659   231124   388477   346357   420976   192552   329940    200982    296810  1325442  2023634  2756890  2816551
            4096       4     2552     2628    25702    25730    25830    15529    31875      2616     26560  1075906  1623989  3119752  3410188
            4096       8     5104     5467    48531    48503    47108    29082    49241      5277     45348  1178333  1809968  3543844  3860813
            4096      16     9850     9863    87480    89303    71965    45325    67114     11265     66740  1231107  1865996  3713116  4052041
            4096      32    19058    19435    96437   101963   101860    66761    91711     19301     98222  1244665  1844955  3781775  4075109
            4096      64    34862    36143   171740   171488   170212    98070   150510     39271    158625  1209696  1704384  3292546  3543113
            4096     128    68449    64621   223947   226361   224500   140615   205035     77326    211995  1248826  1751295  3086681  3465915
            4096     256   111921    98426   232632   247417   243190   206429   202481    171790    257419  1156052  1601881  2950952  3088901
            4096     512   136346   147677   263511   278826   273122   220869   259750    192798    340311  1205029  1578479  2769693  2921346
            4096    1024   162662   154036   343736   369707   354043   185046   310797    180569    286532  1301918  1635896  2409584  2697926
            4096    2048   160243   167959   303409   372529   407320   192319   346593    167067    369946  1302412  2407895  2465960  2488463
            4096    4096   178366   165635   376159   415576   436438   169193   357982    168663    320982  1297004  1813215  2391139  2349928
            8192       4     2607     2675    25775    25853    21581     5503    32240      2607     26417  1085313  1447347  2483931  2696614
            8192       8     5311     5184    48741    48929    47459    28559    48546      5431     43783  1193303  1580208  2782659  3038585
            8192      16     9810    10321    89611    89395    70744    44281    67544     11022     66026  1249544  1704875  2974661  3196312
            8192      32    18756    19466   101504   103822   101135    70387    96231     21192     99251  1243080  1658944  2913371  3127933
            8192      64    36053    36825   170142   163232   170340   107138   155753     38414    160234  1243665  1650656  2870294  3052081
            8192     128    62629    64591   235340   235930   235862   137614   211472     80158    204161  1228370  1643943  2800577  2945842
            8192     256    96878    97002   243231   244858   239385   227967   231327    146030    228889  1162183  1555315  2749041  2851476
            8192     512   163080   127090   265500   272059   260352   201813   280414    205606    279000  1158383  1517870  2576116  2607196
            8192    1024   142986   140804   297037   325013   314267   177407   316403    157654    305170  1203838  1551173  2499107  2533006
            8192    2048   160034   145858   340820   354971   382034   163015   345901    160747    356858  1379587  1775072  2538620  2551249
            8192    4096   162759   169196   347219   365335   371770   163741   384402    156133    325389  1291728  2410735  2369668  2333142
            8192    8192   192898   184384   362250   354002   338426   152428   371252    199232    336455  1266727  1715601  2375895  2401635
           16384       4     2583     2609    21592    15174    17083    12773    32848      2643     26438  1073024  1445301  2680605  2806044
           16384       8     5223     5279    49726    49556    48225    28186    49096      5334     44248  1177937  1629628  2950498  3165365
           16384      16    10002    10172    90862    89594    70210    45725    67441     10977     66393  1216407  1661343  3047588  3208071
           16384      32    18963    18946   103939   104847   104724    68831    98079     20964     98726  1256554  1734691  3200600  3383728
           16384      64    34405    35158   171371   168989   171019    95454   161836     38390    160736  1215718  1646495  2738831  2810864
           16384     128    62543    64005   237068   234408   231526   142776   212610     81021    210873  1224230  1652633  2979408  3096056
           16384     256    97691    97600   237290   238139   241736   190733   227562    145614    235971  1144050  1540560  2774548  2821829
           16384     512   126024   133338   266653   263370   259067   201290   245965    202391    269571  1120655  1494070  2636991  2618901
           16384    1024   139887   138033   318488   314435   320815   173272   318081    149804    339931  1100694  1447219  2311545  2316766
           16384    2048   143188   147496   336773   361470   363468   162044   354745    154475    342552  1131262  1457780  2201573  2181930
           16384    4096   159829   151315   365624   349644   394253   178612   361064    157942    346312  1362378  1735611  2366633  2341873
           16384    8192   175273   189226   343609   320821   353766   192323   355516    181413    343819  1256715  2328936  2294641  2306966
           16384   16384   178874   185885   322495   324545   308507   205886   312516    207604    315175  1243660  1700480  2323346  2387601
           32768      64    34798    35268   173005   173747   172725   104928   159718     38255    161023  1222420  1658632  3014818  3077670
           32768     128    61117    62663   228654   234084   232527   142841   183953     76835    213473  1186518  1616019  2753581  2824080
           32768     256    97582    98468   232089   233748   233848   180959   233470    144400    225872  1109875  1503053  2728868  2794962
           32768     512   134223   134131   257668   255232   260284   198489   262200    192161    261284  1091133  1487824  2660822  2667070
           32768    1024   134579   140433   310827   311936   319618   176572   312421    147458    311755  1098564  1469561  2604746  2639412
           32768    2048   135852   138216   353957   349976   355578   157739   347258    153922    341418  1109498  1449658  2569874  2587923
           32768    4096   150394   138913   360634   351915   364194   161723   368913    157911    362349  1154863  1491683  2160758  2147590
           32768    8192   168661   161217   340726   335215   340368   165439   358932    165118    289933  1345543  1723636  2295132  2341905
           32768   16384   187862   171474   331006   345920   343415   178442   319459    189077    313038  1267912  2303711  2226099  2255064
           65536      64    34741    35302   173407   173576   134704    57633   110227     38006    163209  1207528  1639390  2840387  2924923
           65536     128    61999    61669   238525   238579   238027   150307   213861     77467    213591  1203905  1642917  2988849  3012433
           65536     256    95030    96122   232036   237065   227132   122598   186720     99932    184503  1121960  1515808  2819960  2861975
           65536     512   132126   129400   262145   261394   261520   204030   255635    194084    255106  1085788  1457713  2546184  2607682
           65536    1024   134665   139131   313761   312835   323564   167072   311662    151219    317686  1073692  1428302  2589845  2570446
           65536    2048   133194   130864   350594   347142   351648   159024   356208    153630    350149  1055534  1384023  2454183  2498145
           65536    4096   139189   142643   360204   363895   358039   153046   359403    156427    370705  1096963  1427026  2285871  2337898
           65536    8192   164965   164829   341947   345714   347344   172146   338552    169133    308946  1156631  1494894  2209650  2247298
           65536   16384   174791   180460   335052   328159   350510   176114   305701    189946    325838  1321078  1703699  2281507  2275483
          131072      64    34713    35297   138792    99127   121568    94593   162464     38347    162881  1196435  1629843  2831416  2863582
          131072     128    49342    62254   228780   149277   159135   109780   211561     76745    213702  1202627  1636495  2986037  3063648
