	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Mon Sep 26 10:57:44 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4     2436     3996    26004    41052    41612    13181    34557      3971     27985   852702  1279447  2067979  2772930
              64       8     7576     7524    66944    71758    68886    17651    37273      7794     32673  1033216  1484662  2444640  3057153
              64      16     8914     8793    23694    91810    87330    12874    20901      9146     22710  1163036  1734015  1363961  2801873
              64      32    41426    38114   103371   125039   116975    46613    39000     43012     39505  1304314  2133730  2133730  2379626
              64      64   237174   131148   193424   200653   180302   243411    55020    242531     71682  1105556  1679761  1484662  1452528
             128       4     3830     1814    24975    42257    41692     9491    26186      3819     32111  1000121  1440082  2673584  3199360
             128       8     7010     7217    70328    71394    71223    24381    27722      3621     31288   955616  1346196  3124872  3468030
             128      16     7938    14235    55797    91230    89198    33375    46446     15659     52589  1243315  1802755  2985839  3468030
             128      32    36425    38507    74124   127984   123537    52139    38730     17809     42694  1332828  2098744  1939522  3124872
             128      64    45486    32388   181571   205476   193899    84549    78434     84709     86316  1229084  2098744  1997245  2098744
             128     128   271173   208752   278199   280086   262296   321516   101510    313811    102401  1254941  2098744  1363288  1363288
             256       4     1900     3492    22683    34219    35179    16448    27162      2169     30025   984356  1540948  3009318  3326279
             256       8     6906     4381    71708    73757    72955    16279    37869      6385     50077  1201314  1790149  3511189  3810220
             256      16    15237     7892    53087    91750    91656    29411    40660     15102     69769  1175022  1911233  2285501  3879045
             256      32    26337    21220    62120   128965   126355    33170    72580     15420     80455  1340826  2030503  3316006  3499745
             256      64    62452    69020   148495   204959   202066    95991    94429     41938     86838  1430119  2061693  2699161  2754556
             256     128   133254   136542   262284   273160   269729   130200   143092    157838    172716  1300235  1881098  2015259  2065659
             256     256   387939   267779   345943   346837   327779   355566   246621    321980    298775  1243036  2187712  1447470  1376935
             512       4     2525     2427    23825    25051    27190    17688    37578      2559     30969  1047141  1551867  3117691  3393590
             512       8     4547     7414    47067    61702    61096    18714    45401      6721     47712  1193175  1707325  3604335  3905895
             512      16     9344    14317    77457    92889    86943    27785    80211     13380     62922  1273861  1815584  3628697  3877684
             512      32    15312    25367    94048   129064   127805    85690    84209     15412     80833  1303238  2016784  3659616  3877684
             512      64    50532    26877   113420   205721   206274    83949   122841     54958    149444  1286067  1856390  3122224  3239989
             512     128    68021   111229   234318   290090   277065   146318   172977     94745    141993  1418599  1970519  2638816  2681653
             512     256   214216   178084   300103   323669   337081   137229   147635    167265    232115  1276891  2160868  2073249  1807941
             512     512   429170   448344   371549   347556   337983   403449   313327    355319    254206  1303238  1875849  2548017  2497638
            1024       4     2819     2493    24494    25071    25880    14792    32699      2850     28760  1063425  1554004  3112733  3436508
            1024       8     4863     5177    47581    47541    49192    23126    45714      6140     45890  1158358  1861867  3603747  3863055
            1024      16     9272     9966    82841    87670    75172    52021    69541     11434     67890  1210598  1882266  3722435  3970183
            1024      32    16312    26429    86911   105027   108041    74662    98056     24252     81011  1233545  1920993  3738636  3643490
            1024      64    30632    46421   172795   181591   180091    93039   156768     54384    178363  1292961  1882266  3170172  3436508
            1024     128    56724    85994   238532   254851   254534    99464   177743     96168    228725  1302766  1872419  3066069  3160839
            1024     256   179647   129456   267219   284212   272267   233310   216908    151820    274898  1352828  1758930  2480051  2528227
            1024     512   249768   280244   281087   350329   347607   266308   297501    290165    266655  1206178  2044438  2640123  2693097
            1024    1024   358397   332150   320500   351274   365971   402497   235678    360442    354932  1304348  2081090  2592318  2625597
            2048       4     2647     2632    24629    25241    25448    15550    31647      2639     26918  1022513  1541955  3145567  3281349
            2048       8     4924     5652    46948    46997    46190    24325    47851      5937     44748  1183870  1796378  3807923  3999400
            2048      16     9426    11328    84631    86757    71628    41389    63087     10956     68073  1191258  1841829  3764533  3975338
