	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Mon Sep 26 09:11:53 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4     3780     3975    26145    42664    41911    13053    32889      3607     23757   863676  1310683  2358717  2801873
              64       8     7567     7888    65699    70403    68886    18042    18918      3849     20342  1049372  1526887  2467108  3203069
              64      16     8847     8902    24185    94960    89994    13245    21427      9149     37185  1105556  1734015  2278628  2662899
              64      32    40685    37103   109798   126751   118944    44725    37623     44385     43269  1310683  2052169  2067979  2358717
              64      64   236339   131405   194545   202469   179699   243411    58459    242531     74507  1188789  1780008  1392258  1392258
             128       4     2529     1811    24887    42327    41734    14679    30784      3829     32177  1032829  1508887  2843510  3199360
             128       8     7173     7310    70254    72679    71394    14165    22199      3639     31221   947186  1642783  2969325  3468030
             128      16    14561    14414    56412    91619    89391    34244    47637     16922     57997  1009524  1802755  2905056  3277486
             128      32    36822    27652    44275   128259   123908    25894    36438     17874     42609  1363288  2066432  2673584  2969325
             128      64    72728    85274   182125   205476   193899    89258    79350     99057     83666  1254941  2098744  2098744  2140585
             128     128   270626   178730   263973   283787   257022   326602   105958    331646    109592  1266785  2132084  1346196  1373754
             256       4     2173     3636    22940    34380    35526    12461    26649      2581     30802  1045710  1445521  2975955  3326279
             256       8     6766     3523    72521    71507    72787    20570    47458      6885     47450  1066483  1775350  3410808  3717869
             256      16    11678     7308    54760    92990    91790    37892    60476     16870     69377  1224606  1868008  3410808  3717869
             256      32    28246    15032    61434   124885   126489    33324    75072     23954     80958  1375171  1790149  3410808  2665657
             256      64    68742    60592   147617   207614   201082    65979    69395     35724     80527  1489641  2081678  2726577  2613746
             256     128   132026   153395   238831   298360   271709   140050   155057    164437    163984  1292410  2187712  1814348  2081678
             256     256   344611   398744   340027   336827   324020   386821   198114    395804    265527  1368162  2247235  1415041  1300235
             512       4     2571     2440    23914    25048    27171    18156    37498      2614     31062  1075459  1556366  3122224  3346002
             512       8     5663     7806    46643    62014    61450    18589    46280      4820     48238  1199171  1684557  3580298  3736016
             512      16    13721    12157    61516    93962    87300    30149    80897     16399     62621  1322500  1848401  3822466  4061007
             512      32    20733    27101    94778   128871   127744    73947    64112     16620    100472  1282994  1961520  3201349  3884698
             512      64    34936    29972   148063   206950   205859   108061   122197     60484    156387  1361920  1924603  3163620  3279573
             512     128   103664   111085   225936   277962   272911   140241   128033     64483    152068  1406520  1910902  2460437  2681653
             512     256   210975   125798   287642   288609   284141   147210   168142    270028    227347  1343179  2169601  2073249  1985091
             512     512   388206   358762   360812   354791   370204   354089   324451    445553    254597  1306409  1999881  2405320  2327124
            1024       4     2762     2545    24394    24876    25707    14238    32667      2657     29046  1086012  1687075  3294177  3271594
            1024       8     5220     5164    47588    47592    49166    21075    48445      5861     46446  1162433  1759651  3324778  3631168
            1024      16    10097     9854    82228    87731    75448    43367    59538     12996     62363  1265904  1855433  3735385  3970183
            1024      32    16315    22115    85848   105359   108371    75127    98310     19729     82754  1221964  1861867  3469823  3684119
            1024      64    40480    38153   131821   180758   179018    99013   154008     46668    150148  1244266  1792702  3379719  3355952
            1024     128    54030    88017   230790   262227   265485    84516   181660    117619    241347  1275301  1837965  2985091  3189002
            1024     256   136025   146978   243813   293335   274600   201889   182828    130364    263110  1378002  1809317  2653170  2540189
            1024     512   255747   181399   300015   346765   326221   248424   289754    321725    273289  1210598  2004366  2659742  2592318
            1024    1024   353239   317820   288857   374002   363093   348199   300561    365846    358158  1342258  2011877  2767722  2861774
            2048       4     2673     2580    24750    25444    25748    15734    31535      2592     27160  1076728  1586379  3302797  3472356
            2048       8     4968     5412    47732    47233    46414    25458    48108      5808     44574  1182403  1759581  3600433  3841986
            2048      16     9451    12216    80440    87517    69752    40647    62860     11764     67724  1261777  1968901  3764533  4112366
            2048      32    19458    20457    94339   101986   102119    62937    97056     19544     90439  1232272  1835140  3885431  4046500
            2048      64    36680    35521   172812   172885   171179    98736   148901     40710    150387  1228571  1807720  3407614  3624742
            2048     128    59724    64646   234917   227151   228286   159676   185692     87371    225998  1245855  1770096  3084572  3180508
            2048     256   107281   104644   237063   250123   231986   189435   248963    145496    292285  1264191  1695335  2896324  2896324
            2048     512   194603   209859   235541   322411   289673   206638   217550    265590    328841  1320552  1705094  2723672  2797290
            2048    1024   228159   243314   322265   350140   351948   261196   241705    319449    280352  1226992  2094183  2812862  2925920
            2048    2048   272162   241882   410004   392345   411162   303533   326107    262803    309270  1293702  1939122  2509617  2546821
            4096       4     2588     2674    25494    25591    25904    15080    32235      2788     26049  1074493  1542205  3098371  3447830
