	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Mon Sep 26 09:51:45 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4     3839     3738    38624    40636    41102    13071    32487      3629     27305   926260  1304314  1991276  2923952
              64       8     5264     3832    29767    71835    68744     8982    21994      3857     20454   752329  1452528  2467108  3057153
              64      16     8481    16452    84872    91936    87529    23348    36552     18248     37319  1124074  1690338  2467108  3022727
              64      32    41670    35555   107943   124748   116771    46045    32752     48082     46211  1249666  2067979  2006158  2203800
              64      64   228493   233664   199460   187742   177207   241658    75027    242312    139388  1066042  1526887  1363961  1392258
             128       4     1790     2392    33323    42881    42410    17213    30454      3774     32000   992724  1471662  2784517  2920861
             128       8     7232     3584    64778    72896    71025    14682    22095      3614     30068  1105114  1579934  3053774  3468030
             128      16    13882    15167    55337    96981    94539    36036    70411     17773     55030  1231904  1755594  2843510  3277486
             128      32    21045    17165    76283   128382   123908    26533    37771     19213     43627  1332828  1749872  2673584  3053774
             128      64    74032    74858   181264   205162   193341    86136    92887     90385     74196  1206978  2058509  2035099  2035099
             128     128   269539   201542   287587   274641   258011   318465   110722    327399     54012  1281909  2098744  1424795  1391557
             256       4     2523     3766    20582    34435    35290    10428    27859      3029     30585  1057034  1523457  3078337  3326279
             256       8     4627     3473    72214    73580    72624    27971    47249      7065     51560  1067543  1694118  3368013  3705040
             256      16     8479     7616    73479    92853    91563    45912    61526     16176     65931  1148625  1855098  3454704  3810220
             256      32    18596    14469   106492   128195   127057    37425    96971     29005     86398  1260547  1956506  3159869  3410808
             256      64    64350    51590   145872   204335   200781    44553    76375     33551     77527  1447470  1842366  2557711  2726577
             256     128   136455   142788   251002   278908   273508   126117   199847    142296     92184  1267990  2205688  2114473  2045979
             256     256   276751   129494   325296   337781   305839   346837   215143    393195    241030  1375171  2192179  1479379  1201314
             512       4     2493     2388    25039    25030    27242    16897    37647      2622     30923  1120344  1541840  3259661  3437042
             512       8     6434     5894    47088    62392    61672    19461    58221      7205     46813  1179413  1679288  3736016  3941742
             512      16    13216    10765    63170    91460    82831    31876    70232     15607     63546  1169140  1834193  3849877  4030519
             512      32    22705    27281    95648   129360   128064    59827    64177     18020     99260  1293037  1931527  3046915  3822466
             512      64    33635    30643   166499   203498   200478   117350   123875     61538    159607  1296159  1789859  2894940  3086326
             512     128   100369   103769   255476   286682   283017   100098   125864     66866    146959  1372364  1840480  2665014  2486072
             512     256   203982   120755   313555   308422   301367   216943   230941    264735    249625  1276891  2039772  2055390  1985091
             512     512   357567   245348   345710   376764   361845   345487   293259    341748    221075  1187895  1803387  2253852  2265742
            1024       4     2721     2567    24851    24856    25680    15261    32575      2604     29109  1090700  1646334  3133170  3483896
            1024       8     5434     5116    47541    47530    49188    21303    50904      5673     45907  1145383  1750329  3541348  3908759
            1024      16    10451     9857    87625    87717    75488    35524    60724     13107     61542  1197769  1758930  3567824  4014717
            1024      32    16385    21233    88352   105382   107868    78883    95131     18914     81398  1192117  1777861  3751699  3668386
            1024      64    38382    36016   173472   182890   180758   118449   155745     44199    145642  1278718  1771262  3110479  3271594
            1024     128    62057    82780   242259   264520   262901    85569   197726    118107    241170  1315938  1910737  3140041  3094790
