	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Mon Sep 26 07:52:29 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4     3775     3732    40379    41535    41077    12032    22267      3509     26196   913649  1249666  2006158  1392258
              64       8     4468     3836    29023    70329    68674     8755    23791      3934     23205  1066042  1119387  2467108  2923952
              64      16     8598    16256    85087    95264    91684    22865    34917     17665     37644  1083249  1679761  2203800  2772930
              64      32    43158    35205   107727   129816   116975    49040    47194     51035     41937  1255511  2067979  2006158  2298136
              64      64   236965   225234   185536   203236   178741   242312    71187    238862     66944   842003  1690338  1204796   969761
             128       4     1778     2552    32471    42273    41531    16217    30933      3566     31449   895074  1406136  1827299  3124872
             128       8     6024     3621    58849    72857    71422    14543    23564      3679     30462  1111981  1663139  2905056  3380677
             128      16    14481    13331    60692    96165    93567    37834    70642     18296     51842  1217930  1827299  2784517  3468030
             128      32    16509    16989    74505   128782   123908    24605    38052     19067     42796  1421023  2098744  2784517  3124872
             128      64    73184    76840   181817   205791   189653    93779    85505     89139     75735  1206978  2098744  2098744  2166499
             128     128   269946   187664   277050   283188   244721   318276    50932    327399     52527  1196221  1911894  1406136  1377278
             256       4     2631     3477    20558    34561    35403    10608    25009      3162     30382  1080434  1561112  2975955  3245838
             256       8     4384     3545    71133    73544    72664    29028    48439      7220     48817  1158540  1752173  3368013  3770085
             256      16     7644     8167    71251    92958    91656    47485    58929     16218     69247  1280084  1673001  3410808  3770085
             256      32    15444    14531   106980   129105   127163    47637    97828     30549     90589  1231629  1981783  3207059  3557725
             256      64    62016    51570   142466   206100   202371    47698    79261     35734     73817  1453348  2049885  2639446  2719671
             256     128   146449   134237   253971   286651   274417   127480   192640    137715     92049  1267990  2170027  1814348  2030503
             256     256   356038   105003   268582   293628   334206   320347   241300    358056    258309  1384034  2247235  1481420  1398455
             512       4     2481     2404    25031    25026    27232    14614    33440      2705     31189  1030064  1537424  3177664  3325278
             512       8     6834     5412    46515    62340    61784    21297    59520      7169     47332  1210664  1778004  3201349  3934520
             512      16    13216    10011    77156    91181    83935    31856    77810     15410     61362  1221684  1889050  3768799  4030519
             512      32    24206    27503    93945   129845   128739    61098    64473     19543     99343  1316016  1862832  3604335  3905895
             512      64    28697    35018   175651   207370   203982   115160   128933     62545    160609  1255246  1882427  2958758  3046915
             512     128   117324   101144   239359   281496   273084   100313   121328     66735    136531  1446306  1975959  2438090  2708713
             512     256   229903   125673   331207   297155   287642   221075   226150    264605    215139  1105920  2014892  1917728  1977778
             512     512   333108   272046   338837   359543   339318   340448   295275    338623    240700  1305615  2107844  2638816  2460437
            1024       4     2662     2617    24848    24849    25673    14906    32432      2620     29309  1062110  1573360  3160839  3198502
            1024       8     5969     4185    48796    48840    49738    30039    48491      5303     44792  1144163  1765437  3738636  3849207
            1024      16    11491     9952    82243    87948    73781    37031    65094     12357     60677  1214706  1925298  3778101  3937426
            1024      32    17629    18807    87452   106867   108486    90346    94965     17599     87950  1244266  1837965  3849207  3941039
            1024      64    42960    33031   136805   183085   181430   130944   154102     39056    145248  1238525  1777861  3495237  3425544
            1024     128    66692   105284   219043   259831   261827   110595   174565    110402    247465  1319577  1886400  2934110  2916180
            1024     256   113461   118218   272267   298017   273289   167127   175313    177751    277509  1343938  1806273  2510493  2410457
            1024     512   238135   188891   339072   357919   322425   262435   315950    308063    275799  1219189  1914144  2681328  2751762
            1024    1024   349019   363893   333672   279714   371671   394910   356523    349872    309261  1347311  2027069  2837198  2882904
            2048       4     2587     2530    24908    25623    25911    15973    31010      2538     27323  1063267  1548069  3071337  3266376
            2048       8     4978     5161    47302    47236    46442    25475    46577      5365     43873  1178995  1794877  3757946  3917325
            2048      16     9408    10362    80389    87376    71902    40214    63856     11851     68853  1218291  1863404  3878414  4120256
            2048      32    19675    20344    93426   102042   102498    66151    98329     19180     91038  1261036  1903457  3887189  4204968
            2048      64    36175    37869   167266   169424   169257   105073   147753     40929    151849  1241893  1753475  3414387  3519302
            2048     128    82136    67134   229335   227808   231879   126224   199007     79432    260563  1272808  1791882  3425279  3536690
            2048     256   122210   107062   233442   259602   264120   232067   221619    156839    243666  1217600  1678768  2884652  2933915
            2048     512   172188   169916   243080   284088   331442   225080   218169    225180    280553  1343687  1732608  2809182  2909075
            2048    1024   269506   185656   278110   286868   304404   218641   277696    267993    273027  1186486  2113766  2836079  2892423
            2048    2048   265180   188720   287646   290663   381100   344371   362478    329156    328250  1328928  1971160  2553635  2648920
            4096       4     2601     2651    25788    25872    25914    15062    31936      2674     26332  1083574  1553220  3054304  3316701
            4096       8     5407     5380    47924    47954    46544    27564    48062      5720     45297  1174707  1689800  3341213  3792628
            4096      16    10253    10264    86832    88174    69027    45756    64978     10664     65916  1220871  1783104  3614679  4039655
            4096      32    18733    18552   101373   103021   103033    63322    97202     21478     98312  1245386  1833535  3733288  4071246
            4096      64    36031    35622   171423   169061   168998    97537   147005     39572    152290  1248373  1773166  3438858  3621537
            4096     128    61053    62408   230395   234512   226863   150937   175884     82537    199882  1245386  1760989  3276846  3424463
            4096     256   102277   112274   236898   242366   244362   193271   224673    153212    279703  1172302  1616502  2936325  3027393
            4096     512   147042   140496   289883   276644   266578   203608   274365    227455    286857  1207230  1605624  2730948  2842558
            4096    1024   157622   257558   259884   268696   297112   264225   254170    216731    267992  1345561  1682188  2556982  2882622
            4096    2048   238722   180694   285513   288757   340736   194852   308874    194417    268768  1272789  2399488  2228603  2306082
            4096    4096   275068   171539   302602   313073   388616   239574   316005    239407    366794  1297886  1814748  2384170  2375927
            8192       4     2566     2662    25837    25866    22331     5498    32337      2596     26868  1089236  1450708  2512079  2685024
            8192       8     5232     5216    49586    49610    48083    27524    49690      5253     44427  1172975  1577161  2802633  3016180
            8192      16    10178    10236    88356    90256    69642    44866    67858     11151     66254  1248999  1688040  2848403  3104195
            8192      32    18484    19011   103856   104117   103821    71191    98250     21059     97627  1269301  1700656  2972345  3282106
