	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Mon Sep 26 07:39:15 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4     4215     2048    31983    42194    40996     7653    13198      1881     17597   866463  1279447  2006158  2923952
              64       8     4080     4294    34244    70496    68903     9667    23852      4289     21865  1049372  1421755  2379626  2923952
              64      16    18166    18593    45452    89633    87330    26294    39599     22463     42951  1105556  1679761  2379626  2923952
              64      32    42951    41670   108117   125272   116822    46816    40660     50111     44755  1255511  2133730  2067979  1204796
              64      64   236965   131727   193983   201255   180302   237804    56742    243411     59090  1119387  1780008  1336792  1392258
             128       4     3559     4069    32752    42200    41628    17939    30526      1787     24677   978253  1471662  2784517  3036502
             128       8     8022     8106    70245    70411    71148    25863    40712      7419     41371  1123617  1642783  2843510  3380677
             128      16    13216     7754    39119    91964    89391    17577    33506      8108     37982  1254941  1778862  2905056  3297617
             128      32    30224    32628    69008   128505   124022    42340    61155     39665     63770  1377278  2027414  2660335  2843510
             128      64    74984    72278    73687   205791   194532    47198    46991     45942     47599  1162547  2027414  1561553  2004703
             128     128   276480   173418   274080   280086   259006   320174   116462    324823    121772  1332828  2166499  1451764  1391557
             256       4     2800     2108    23134    34781    35819    16680    34238      2779     25874  1023775  1552085  2975955  3275543
             256       8     7481     7294    72151    73585    72418    28325    49497      3725     41091  1031644  1561112  3454704  3705040
             256      16    13695    15179    71152    92613    91719    49040    61360      7978     53378  1126926  1924938  3511189  3717869
             256      32    28796    29260    83632   128903   126355    62394    96526     31550     58502  1208072  2065659  3368013  3545976
             256      64    45551    58848   136820   207654   201876    77695    89636     64466    118464  1398455  2034350  2639446  2719671
             256     128    77577    70327   272675   270613   272053    92717    96639    168620    175597  1376935  2135500  2131261  2034350
             256     256   346390   391475   343618   356629   312151   330707   110016    398744    106757  1347557  1938842  1471270  1375171
             512       4     2641     3022    22274    24673    26859    12565    37914      2561     28975  1034530  1570020  2894940  3372274
             512       8     4608     5177    47765    62576    61814    30485    52891      3890     48129  1213400  1718254  3239989  3822466
             512      16     8631    10629    75918    93756    87656    47926    81489      8520     54019  1234323  1902438  3678421  3934520
             512      32    20439    14299    91871   128933   127645    79987    82012     30955    101106  1340664  1968713  3762197  3849877
             512      64    53294    47953   149143   208558   205386    70175    98690     31583    144759  1357615  1882427  3081897  3177664
             512     128    83550    61656   253216   290090   285387   155910   187884    126264    204721  1361057  1938502  2625909  2572435
             512     256   191965   197455   267206   305656   283017   225462   232743    261384    148925  1273861  1961520  2047551  2016784
             512     512   344103   342021   355555   343663   338837   410623   237269    351654    258086  1305615  2032051  2524058  2483197
            1024       4     2414     2650    23885    25269    26131    16594    30488      2557     29865  1070048  1592022  3345496  3461434
            1024       8     4815     5653    47149    47326    48486    25920    47775      4824     48295  1137798  1848247  3696803  3891053
            1024      16     9245    11140    74391    86950    74739    50614    69222     10018     66291  1226150  1793451  3668386  4048778
            1024      32    23084    17650    97933   105675   109167    71874    90739     22203     88335  1210598  1907343  3778101  3764854
            1024      64    38157    40376   162283   177905   175463   115796   135844     36760    176371  1256277  1777125  3170172  3436508
            1024     128    84314    54468   247223   261095   269770   152835   215483     68436    189624  1294520  1771993  2985091  3012308
            1024     256   135024   140506   243109   281161   273585   173297   224857    245963    202853  1378445  1828574  2645000  2606476
            1024     512   204592   258845   323640   340767   329247   185914   244744    248367    314677  1182598  1984913  2592318  2592318
            1024    1024   355578   299054   360201   349986   352254   355314   309640    330107    331074  1314729  2102484  2694787  2926114
            2048       4     2624     2739    25074    25333    25593    15499    32098      2711     27519  1061690  1550304  3210223  3312988
            2048       8     5433     5245    47044    47168    46333    28506    45565      5138     46726  1173519  1802788  3704465  3864455
            2048      16    10827     9624    85088    87761    70031    45249    64841     10260     69404  1215532  1835140  3857514  3901313
            2048      32    17704    20389    99863   102256   102237    58918    96878     22417     94600  1244953  1848169  3757946  3984558
            2048      64    35015    37935   172057   171943   170169    97766   146651     38544    152120  1243331  1765367  3341339  3543986
            2048     128    68191    70887   231050   228420   233842   150743   191079     79033    260752  1272054  1794877  3312988  3519302
            2048     256   107241   101417   230010   246300   238306   195027   222780    189963    232123  1258081  1663489  2884652  2913021
