	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Mon Sep 26 10:31:19 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4     2775     3920    39852    42301    40000    12192    25754      4041     24757   901377  1279447  1933893  2772930
              64       8     7925     7775    66944    71662    68886    17876    29479      7921     39505   998622  1452528  2379626  2892445
              64      16     8585     8883    23163    90145    85904    12944    22015      9040     21404   969761  1690338  2133730  2561267
              64      32    39822    40000   111531   130068   116568    47403    38882     42691     41833  1304314  2222043  2133730  2278628
              64      64   189331   232854   191629   198869   179338   241440    64515    241658     59469  1163036  1679761  1421755  1484662
             128       4     3528     1812    24961    42427    41531    10522    30636      3919     32937  1007629  1196221  2714132  3124872
             128       8     7257     7308    69788    72976    71508    24498    29432      3614     33187  1123617  1391557  2985839  3380677
             128      16     8562    14700    57735    92614    90203    34067    69221     16106     51817  1206978  1778862  2920861  3277486
             128      32    34278    36260    80048   127589   123424    33970    37813     19101     41612  1391557  2098744  2673584  2905056
             128      64    43595    44617   179988   204148   192716    83718    78286     81063    103149  1231904  2027414  1997245  2066432
             128     128   266595   180776   272411   273522   259633   319983   111596    328199    100147  1243315  2058509  1421023  1387960
