	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Mon Sep 26 11:10:53 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4     1880     2318    25888    42294    40434    14169    34935      4090     25911   889431  1279447  1991276  2772930
              64       8     8178     7929    65974    71758    67738    18279    40790      8124     34187  1049372  1460430  2467108  2892445
              64      16    17405    10488    23818    91559    86934    12079    20673      8964     21425  1163036  1722886  2298136  2772930
              64      32    25137    15488   109217   124748   116366    25764    24040     25286     40198  1336792  2067979  2006158  2278628
              64      64   228493    79399   193983   200503   179338   243411    66678    240575     64842   799377  1780008  1421755   842003
             128       4     3926     2858    41330    42091    41586     9400    20799      2217     33177  1017175  1471662  2727923  3199360
             128       8     8140     7444    70364    72113    71346    24946    52013      7540     42538   895074  1663139  3053774  3468030
             128      16     7234     7519    67977    95668    93976    25641    45436     16263     51613  1243315  1827299  3053774  3359523
             128      32    32613    34753    82168   129810   125501    47743    64841     39096     63998  1406136  2098744  2843510  3053774
             128      64    47389    31730   183432   206424   193063    44351    43230     51445     48324   947186  1967960  1939522  1967960
             128     128   270626   135000   276337   280671   266595   319222   112863    334956    109592  1319723  2140585  1455701  1363288
             256       4     2001     3088    24777    34224    35457    17515    35093      1970     26476  1057034  1540948  2170027  3236056
             256       8     7479     7179    72088    73625    72772    17488    51415      4017     48165  1093639  1755037  3410808  3705040
             256      16    15108    12940    87014    96128    95411    28979    58566      9094     75696  1274008  1868008  3465855  3823789
             256      32    27639    27835    84236   128965   126548    39282    66684     15217     62257  1361224  2045979  3410808  3667079
             256      64    60208    62228   177161   207454   202180    94529   111063     78023    130343  1422540  2000242  2812272  2819657
             256     128    84236    90360   251002   280657   271777   136386   183771    150852    166116  1224606  2114473  1970871  1924938
             256     256   390195   242883   328280   325296   320825   351607   107970    396243    250242  1158540  2097948  1461259  1347557
             512       4     2542     2670    22564    24936    26994    15451    37195      2577     31141  1105920  1538526  2875558  3437042
             512       8     3712     7270    46668    61605    61140    26088    44646      4977     48673  1225169  1835760  3201349  3963567
             512      16     7323    14094    77774    92941    86251    40339    76314      9119     61894  1273861  1910902  3580298  3884698
             512      32    14752    20611   103369   129196   127584    89289    86137     23316     85821  1225169  1954379  3158966  3849877
             512      64    55549    41114   175050   209310   205622    62122    76693     48679    157685  1316823  1924603  3158966  2926501
             512     128    64646    84212   221348   268207   274375   157928   168922    127041    216856  1429934  1795846  2668325  2350044
             512     256   173494   166719   272633   314474   284932   223491   164095    165639    161820  1270094  2099600  2039772  1789859
             512     512   416921   397475   369376   335292   367291   348968   274691    352867    224660  1333173  1999881  2438090  2150051
            1024       4     2573     2510    24925    25561    26414    15728    33452      2790     30048  1071116  1620249  3179559  3458646
            1024       8     4916     5200    47521    47537    48894    32112    45134      5473     47076  1197769  1777861  3791442  3908759
            1024      16    13866    10098    82948    87618    75150    54595    71894     10483     64662  1211622  1943594  3894582  3923040
            1024      32    18532    21832   102359   104960   108063    67042    88131     29160     92486  1265904  1878973  3606774  4064103
            1024      64    32295    45657   170355   180979   177164    89480   144554     50297    172185  1259223  1834824  3066069  3324778
            1024     128    72234    66653   239864   261238   271116   125522   122441     68262    241116  1319577  1796451  3103735  2960401
            1024     256   159849   107608   238532   312684   281400   216253   217084    177040    195868  1351126  1747480  2559871  2522288
            1024     512   132194   244159   338058   347832   339850   185737   296045    334321    324987  1201790  2048338  2592318  2767722
            1024    1024   370485   245219   350443   318008   358936   368104   278030    364666    362725  1354535  1983996  2782064  2827858
            2048       4     2664     2653    25167    25176    25492    15131    31807      2712     27101  1062216  1589020  3319389  3441748
            2048       8     5245     5446    46940    47004    46295    27501    47199      5386     46467  1169047  1747411  3771144  3814687
            2048      16    10505    10137    87312    87193    71872    46400    65312     10427     68960  1235107  1875201  3710866  3901313
            2048      32    18466    21111   100235   102017   102048    59424    97584     23006     93764  1253308  1818820  4006862  4204968
            2048      64    36218    38665   170398   171309   168546   113288   148307     40314    157611  1231566  1765730  3329682  3502085
            2048     128    72678    75031   239722   240460   235432   126170   185172    111979    276125  1245675  1754908  3150182  3271351
            2048     256   110249   103183   264567   276837   247971   195293   268453    163353    235399  1240458  1692329  2905140  2905140
            2048     512   163693   166233   250831   273941   288206   210353   275682    273906    341279  1331606  1718397  2839830  2892423
            2048    1024   234756   227224   252371   280123   346119   263141   318963    282212    339915  1185995  2058551  2482779  2509617
            2048    2048   355811   326218   269582   283572   363505   344661   319105    369145    318159  1295263  1928672  2450202  2560486
            4096       4     2535     2652    25613    25600    25754    15127    31582      2645     26327  1075031  1515406  3127134  3419011
            4096       8     5130     5379    48333    48373    46640    27431    49765      5382     45126  1178414  1798034  3552638  3915366
            4096      16     9776    10085    89287    88906    70871    41860    68713     11416     66715  1233671  1783104  3627654  4067390
            4096      32    19920    19175    96754   102389   102366    67733    93396     20133     98376  1219744  1752724  3577048  3995498
            4096      64    35683    36505   166313   170454   169213   108228   151105     38573    160779  1215774  1661687  3187474  3504089
            4096     128    67621    69008   230996   231152   229748   148638   212580     77082    217167  1229961  1707943  3351642  3571100
            4096     256   107028   103358   241708   246169   241480   213277   249773    157031    258667  1172622  1592526  3056478  3199942
            4096     512   157254   136075   284817   270793   301486   205912   283557    186579    282988  1214055  1557303  2803592  2923832
            4096    1024   186335   194721   296123   363442   333629   206576   326794    206817    272610  1377275  1696809  2552044  2866748
            4096    2048   216901   227431   274233   336294   308503   211857   317224    233521    309486  1303301  2427973  2449785  2553562
            4096    4096   282988   298345   351076   304037   366302   241040   298195    218779    376918  1124351  1542205  1804455  1783104
            8192       4     2595     2677    25900    25862    21781     5481    32439      2621     26407  1069736  1418018  2531513  2717085
            8192       8     5238     5283    49365    48382    47243    27702    48803      5419     44439  1198547  1620910  2876301  3110096
            8192      16    10247    10273    89245    89241    70390    45689    68198     10799     64909  1258376  1715601  2975692  3221485
            8192      32    18763    19507   101258   103634   103294    66939    97642     20905     98970  1277417  1682420  2970290  3240626
            8192      64    34914    35561   169035   169091   167689   106415   156871     39013    158900  1240656  1659265  2846279  2994102
            8192     128    63157    63770   235992   234064   231575   154820   205933     82448    211117  1246688  1652005  2850530  2985517
            8192     256   101317   103625   229596   233085   236898   234707   226036    149241    232925  1181120  1557995  2868377  2995146
            8192     512   131206   140055   242552   275261   275955   217790   263551    201693    305138  1153638  1517870  2564770  2563240
            8192    1024   165128   168726   261241   279200   289880   227904   285574    233150    294941  1231717  1569668  2579403  2621518
            8192    2048   238069   212929   289809   268696   325453   209364   292478    237580    299077  1384256  1781607  2438104  2444696
            8192    4096   189936   241040   342748   289643   314003   190034   337645    201659    214433  1293917  2410058  2369668  2334569
            8192    8192   234848   210911   297296   305046   312671   239679   310058    232813    343670  1209687  1659986  2254900  2287628
           16384       4     2604     2650    24468    15962    17362    12408    32864      2617     26698  1075004  1440726  2665011  2809715
           16384       8     5206     5274    49512    49897    48369    28101    49368      5256     44310  1189066  1602644  2963220  3182517
           16384      16    10028    10227    90392    90705    71176    47034    69517     11054     66565  1212715  1649143  3063483  3250099
           16384      32    19005    19273   104375   104857   104813    70027    99075     20557     98997  1255475  1695529  3219494  3427609
           16384      64    35569    34598   170987   169805   170608    96366   160430     38422    161892  1213443  1611325  2497999  2608959
           16384     128    63164    63546   237438   237507   233546   143004   205020     80295    216233  1239063  1657296  2912236  3004549
           16384     256    98510    96316   239641   247317   239900   189039   247567    143769    240531  1142529  1521560  2661914  2732949
           16384     512   128218   126906   263705   274913   262661   198180   268045    200173    284508  1132120  1502991  2616409  2629926
           16384    1024   160129   162851   261909   286643   280566   214984   268097    208742    267791  1140310  1491346  2620200  2613125
           16384    2048   198977   191000   266081   285728   321329   236940   309716    220384    310666  1158203  1493810  2278436  2284495
           16384    4096   201354   188436   278057   270327   306346   237866   344005    200587    312869  1363649  1761911  2333523  2357782
           16384    8192   199185   224036   300243   294809   332730   194607   371603    209495    344903  1284624  2325941  2292115  2342272
           16384   16384   215908   201448   298211   321293   325901   186419   346993    214321    318878  1263137  1707748  2341235  2387684
           32768      64    34629    35176   172412   173238   172751   104754   160517     38326    159864  1226533  1667932  3012571  3069080
           32768     128    61469    61964   233980   235503   237253   135863   209959     75973    212909  1202895  1608718  2628810  2693624
           32768     256    98026    99112   234316   238411   234097   193266   233252    140728    238786  1124844  1510105  2803743  2835850
           32768     512   124219   128138   274358   262267   262779   204979   259937    185166    261091  1068442  1461746  2480945  2490341
           32768    1024   163740   156128   267659   291115   286005   217170   286806    196591    238302  1089757  1452477  2486601  2475449
           32768    2048   199570   195868   289301   275920   277989   242661   299264    216687    276240  1114817  1472521  2586657  2625245
           32768    4096   184153   166194   312269   321415   313822   178433   324394    205254    309936  1142413  1464362  2099560  2097830
           32768    8192   194284   191919   313110   309485   317919   208119   304892    203616    328306  1359559  1739737  2298548  2325933
           32768   16384   180497   196786   319394   303902   307441   213518   338201    191311    315997  1276307  2350476  2173813  2210489
           65536      64    34906    35141   172873   173814   133916    59134   113376     38407    163207  1213407  1648662  2868845  2937269
           65536     128    61109    62796   238590   238175   238151   149762   215708     77482    216385  1205389  1628464  2900081  2958068
           65536     256    96515    98482   240253   234947   224681   120311   187486    100326    184179  1129192  1522432  2995526  3029698
           65536     512   137814   132227   264797   264942   267879   198075   262170    199597    255409  1089484  1450812  2666573  2655214
           65536    1024   162822   161191   271626   279268   284301   215007   272989    188258    277056  1093124  1449427  2636521  2607039
           65536    2048   190496   195499   298053   298573   276968   217706   287109    200977    288715  1067118  1397207  2495287  2479151
           65536    4096   177408   191970   304362   314790   310732   197630   307966    186687    316055  1104305  1433262  2171063  2193149
           65536    8192   183955   193436   309020   306608   304855   208322   304259    208756    318018  1168803  1524661  2294821  2286746
           65536   16384   191985   195944   316926   302611   320267   188009   302621    199196    308769  1302801  1666989  2192781  2226546
          131072      64    34851    35559   141192    99510   123443    96541   163293     38248    162978  1218050  1658574  2982101  3024345
          131072     128    61421    62254   230168   156217   166026   110910   217201     77508    217300  1202562  1640387  2947281  2947960
          131072     256    96937    96704   233989   183539   186369   132999   234511    143378    235170  1124098  1495694  2888316  2940219
          131072     512   131199   133097   261143   257724   245467   147415   139816    138714    220267  1085680  1449446  2629796  2649364
          131072    1024   161599   167624   276375   270816   246789   171243   246683    169252    240121  1076760  1413509  2575332  2628476
          131072    2048   186247   188953   281488   287727   262161   200189   264820    185066    264689  1055204  1378415  2545686  2575139
          131072    4096   172385   172826   322937   309824   300721   175843   295513    191086    288095  1068396  1382018  2201296  2222656
          131072    8192   185608   182732   302038   290390   306505   186749   307405    199586    297068  1097002  1432574  2264356  2258375
          131072   16384   184097   193139   302629   300863   305239   194858   298945    198084    315098  1181999  1519003  2254688  2283088
          262144      64    35005    35601   117912   120198   174578   101559   163161     38364    163475  1206524  1652196  2877761  2926663
          262144     128    61251    62388   200770   155210   220436   147702   217311     77950    215983  1197158  1615679  2890365  2954232
          262144     256    96435    97938   205792   184781   227667   184066   235054    144648    230471  1116904  1505856  2947453  3003655
          262144     512   132713   127974   241962   223425   232041   204397   261181    190305    261330  1077527  1424075  2586856  2597440
          262144    1024   164287   162590   262875   247690   247891   191019   277064    190106    276306  1057283  1394655  2499896  2550237
