	Iozone: Performance Test of File I/O
	        Version $Revision: 3.465 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov.

	Run began: Mon Sep 26 07:12:57 2016

	O_DIRECT feature enabled
	Auto Mode
	Command line used: /root/iozone -I -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4     1865     1802    18212    42241    41267     7443    12336      2010     24188   901377  1249666  2006158  2772930
              64       8     7358     7578    66944    71912    68903    17952    38141      7786     31983  1049372  1484662  1638743  2298136
              64      16    18120    18332    46347    91810    87075    25651    37713     21718     38392  1083249  1679761  2298136  2801873
              64      32    24060    16644   109574   129816   116366    24242    22980     26609     25050  1255511  2052169  1599680  2379626
              64      64   196972   131469   193285   200055   180788   234481    68886    242312     66185  1124074  1679761  1421755  1452528
             128       4     3707     3456    31457    42397    41764    15388    29371      1756     25201   992724  1487977  2784517  3199360
             128       8     6931     7086    69870    72522    71233    24238    39011      7894     44554  1111981  1689305  3053774  3445772
             128      16    16349     9233    39517    91760    89065    17577    32355      8222     36438  1243315  1749872  2985839  3380677
             128      32    35388    36403    71185   131302   124051    50180    55172     37744     60067  1266785  1975201  2660335  2905056
             128      64    77160    75426   184440    77061   176092    80048    43851     48705     49960  1254941  2098744  2035099  2066432
             128     128   276480   173699   269539   266066   247542   320940   105005    334123    101760  1294270  2035099  1406136  1243315
             256       4     3630     1946    23758    34745    35778    17947    34201      3153     25669  1049800  1543163  3009318  3275543
             256       8     5687     7114    72297    72292    71350    32606    49238      5379     41552  1169901  1740810  3410808  3705040
             256      16    15410    15496    69283    92445    91236    46563    75314     12166     52108  1201314  1881098  3326279  3605511
             256      32    25394    28381    84428   129823   127616    70637    94181     33741     86607  1375171  2015259  3368013  3654598
             256      64    34986    40744   152027   207936   202066    85503    98991     78600    123905  1368162  1985448  2582316  2533571
             256     128   138229    82261   260692   273508   271777    80473    93942     95666     97190  1190657  2187712  1662639  2034350
             256     256   302223   392764   319204   323240   314161   341759   290608    317975    101826  1422540  2325094  1487577  1413179
             512       4     2579     3659    23637    24503    26705    12828    36129      2853     29001  1089094  1625889  3264616  3437042
             512       8     6586     4343    48804    62302    60966    29824    54133      4483     43910  1187895  1848401  3239989  3913012
             512      16    12170     8626    80289    90957    84347    46659    79889     10545     53657  1201856  1842059  3239989  3905895
             512      32    27523    16167    79062   129485   128003    71003    85503     29425     99749  1258188  1954379  3768799  3963567
             512      64    36613    53854   156285   209249   206116   129329   126331     32734    111814  1302447  1895721  2722449  2474613
             512     128   101063    72883   220779   279154   265160    86603   170735    123221    200553  1387437  1940253  2665014  2438090
             512     256   136099   173326   269757   290758   291904   210109   240943    262695    234523  1245780  2150051  2022482  1983258
             512     512   368615   359062   352635   336184   336395   389898   235294    411647    254356  1286067  1890713  2413429  2427068
            1024       4     2409     2871    24669    24686    25472    14981    31901      2454     29736  1090700  1544504  3083680  3261656
            1024       8     5731     6043    46918    46967    48615    20137    49459      5096     46864  1146607  1761816  3518141  3951918
            1024      16    11123    11566    81339    86934    73220    35024    66527     10747     61615  1170352  1747480  3804877  3966517
            1024      32    20986    16951    98851   105717   108797    96339    96568     17846     88596  1224752  1906496  3804877  3984917
            1024      64    46072    29712   160927   179302   182115   133297   149095     31984    174147  1236742  1783768  3390391  3447541
            1024     128    72939    70884   224364   266110   265271   132178   206998    107541    196136  1363565  1883092  3074849  3083680
            1024     256    98490   164207   252291   294664   279169   176887   186011    226303    282567  1345623  1858644  2497356  2448941
            1024     512   269906   188237   331816   361961   330539   274529   283593    340983    244674  1194770  1962242  2694787  2653170
            1024    1024   409442   304051   369815   348170   354083   356908   344429    372380    250540  1314729  2044438  2491561  2559871
            2048       4     2551     2565    25670    25632    26013    15789    31446      2548     27742  1058942  1561009  3277593  3330973
            2048       8     5345     5039    47492    47457    46463    29058    46844      5446     44915  1170959  1820362  3878414  4040790
            2048      16     9930     9634    81457    88032    70142    41509    65111     12597     65020  1199744  1814210  3723735  3924484
            2048      32    19708    18808    94052   102482   102548    62885    97001     19160     95840  1224892  1816896  3953383  4096676
